variable_code,description
comm_license_rev_11,Commerical fishing license revenue - 2011
comm_license_rev_12,Commerical fishing license revenue - 2012
comm_license_rev_13,Commerical fishing license revenue - 2013
comm_license_rev_14,Commerical fishing license revenue - 2014
comm_license_rev_15,Commerical fishing license revenue - 2015
comm_license_rev_16,Commerical fishing license revenue - 2016
rec_license_rev_05,Recreational fishing license revenue - 2005
rec_license_rev_06,Recreational fishing license revenue - 2006
rec_license_rev_07,Recreational fishing license revenue - 2007
rec_license_rev_08,Recreational fishing license revenue - 2008
rec_license_rev_09,Recreational fishing license revenue - 2009
rec_license_rev_10,Recreational fishing license revenue - 2010
rec_license_rev_11,Recreational fishing license revenue - 2011
rec_license_rev_12,Recreational fishing license revenue - 2012
rec_license_rev_13,Recreational fishing license revenue - 2013
rec_license_rev_14,Recreational fishing license revenue - 2014
rec_license_rev_15,Recreational fishing license revenue - 2015
rec_license_rev_16,Recreational fishing license revenue - 2016
Arrivals_05,Total number of tourism arrivals - 2005
Arrivals_06,Total number of tourism arrivals - 2006
Arrivals_07,Total number of tourism arrivals - 2007
Arrivals_08,Total number of tourism arrivals - 2008
Arrivals_09,Total number of tourism arrivals - 2009
Arrivals_10,Total number of tourism arrivals - 2010
Arrivals_11,Total number of tourism arrivals - 2011
Arrivals_12,Total number of tourism arrivals - 2012
Arrivals_13,Total number of tourism arrivals - 2013
Arrivals_14,Total number of tourism arrivals - 2014
Arrivals_15,Total number of tourism arrivals - 2015
Arrivals_16,Total number of tourism arrivals - 2016
tourism_GDP_05,total GDP produced by the tourism industry - 2005
tourism_GDP_06,total GDP produced by the tourism industry - 2006
tourism_GDP_07,total GDP produced by the tourism industry - 2007
tourism_GDP_08,total GDP produced by the tourism industry - 2008
tourism_GDP_09,total GDP produced by the tourism industry - 2009
tourism_GDP_10,total GDP produced by the tourism industry - 2010
tourism_GDP_11,total GDP produced by the tourism industry - 2011
tourism_GDP_12,total GDP produced by the tourism industry - 2012
tourism_GDP_13,total GDP produced by the tourism industry - 2013
tourism_GDP_14,total GDP produced by the tourism industry - 2014
tourism_GDP_15,total GDP produced by the tourism industry - 2015
tourism_GDP_16,total GDP produced by the tourism industry - 2016
tourism_emp_05,total employment within tourism industry - 2005
tourism_emp_06,total employment within tourism industry - 2006
tourism_emp_07,total employment within tourism industry - 2007
tourism_emp_08,total employment within tourism industry - 2008
tourism_emp_09,total employment within tourism industry - 2009
tourism_emp_10,total employment within tourism industry - 2010
tourism_emp_11,total employment within tourism industry - 2011
tourism_emp_12,total employment within tourism industry - 2012
tourism_emp_13,total employment within tourism industry - 2013
tourism_emp_14,total employment within tourism industry - 2014
tourism_emp_15,total employment within tourism industry - 2015
tourism_emp_16,total employment within tourism industry - 2016
tourism_estbl_05,total establishments within tourism industry - 2005
tourism_estbl_06,total establishments within tourism industry - 2006
tourism_estbl_07,total establishments within tourism industry - 2007
tourism_estbl_08,total establishments within tourism industry - 2008
tourism_estbl_09,total establishments within tourism industry - 2009
tourism_estbl_10,total establishments within tourism industry - 2010
tourism_estbl_11,total establishments within tourism industry - 2011
tourism_estbl_12,total establishments within tourism industry - 2012
tourism_estbl_13,total establishments within tourism industry - 2013
tourism_estbl_14,total establishments within tourism industry - 2014
tourism_estbl_15,total establishments within tourism industry - 2015
tourism_estbl_16,total establishments within tourism industry - 2016
tourism_GDP_prop_05,Proportion of total GDP produced by tourism industry - 2005
tourism_GDP_prop_06,Proportion of total GDP produced by tourism industry - 2006
tourism_GDP_prop_07,Proportion of total GDP produced by tourism industry - 2007
tourism_GDP_prop_08,Proportion of total GDP produced by tourism industry - 2008
tourism_GDP_prop_09,Proportion of total GDP produced by tourism industry - 2009
tourism_GDP_prop_10,Proportion of total GDP produced by tourism industry - 2010
tourism_GDP_prop_11,Proportion of total GDP produced by tourism industry - 2011
tourism_GDP_prop_12,Proportion of total GDP produced by tourism industry - 2012
tourism_GDP_prop_13,Proportion of total GDP produced by tourism industry - 2013
tourism_GDP_prop_14,Proportion of total GDP produced by tourism industry - 2014
tourism_GDP_prop_15,Proportion of total GDP produced by tourism industry - 2015
tourism_GDP_prop_16,Proportion of total GDP produced by tourism industry - 2016
tourism_emp_prop_05,Proportion of total employees employed in tourism - 2005
tourism_emp_prop_06,Proportion of total employees employed in tourism - 2006
tourism_emp_prop_07,Proportion of total employees employed in tourism - 2007
tourism_emp_prop_08,Proportion of total employees employed in tourism - 2008
tourism_emp_prop_09,Proportion of total employees employed in tourism - 2009
tourism_emp_prop_10,Proportion of total employees employed in tourism - 2010
tourism_emp_prop_11,Proportion of total employees employed in tourism - 2011
tourism_emp_prop_12,Proportion of total employees employed in tourism - 2012
tourism_emp_prop_13,Proportion of total employees employed in tourism - 2013
tourism_emp_prop_14,Proportion of total employees employed in tourism - 2014
tourism_emp_prop_15,Proportion of total employees employed in tourism - 2015
tourism_emp_prop_16,Proportion of total employees employed in tourism - 2016
tourism_estbl_prop_05,Proportion of total estblishments dedicated to tourism - 2005
tourism_estbl_prop_06,Proportion of total estblishments dedicated to tourism - 2006
tourism_estbl_prop_07,Proportion of total estblishments dedicated to tourism - 2007
tourism_estbl_prop_08,Proportion of total estblishments dedicated to tourism - 2008
tourism_estbl_prop_09,Proportion of total estblishments dedicated to tourism - 2009
tourism_estbl_prop_10,Proportion of total estblishments dedicated to tourism - 2010
tourism_estbl_prop_11,Proportion of total estblishments dedicated to tourism - 2011
tourism_estbl_prop_12,Proportion of total estblishments dedicated to tourism - 2012
tourism_estbl_prop_13,Proportion of total estblishments dedicated to tourism - 2013
tourism_estbl_prop_14,Proportion of total estblishments dedicated to tourism - 2014
tourism_estbl_prop_15,Proportion of total estblishments dedicated to tourism - 2015
tourism_estbl_prop_16,Proportion of total estblishments dedicated to tourism - 2016
vis_spending_05,Total visitor spending - 2005
vis_spending_06,Total visitor spending - 2006
vis_spending_07,Total visitor spending - 2007
vis_spending_08,Total visitor spending - 2008
vis_spending_09,Total visitor spending - 2009
vis_spending_10,Total visitor spending - 2010
vis_spending_11,Total visitor spending - 2011
vis_spending_12,Total visitor spending - 2012
vis_spending_13,Total visitor spending - 2013
vis_spending_14,Total visitor spending - 2014
vis_spending_15,Total visitor spending - 2015
vis_spending_16,Total visitor spending - 2016
prop_vis_spending_05,Ratio of visitor spending to resident spending - 2005
prop_vis_spending_06,Ratio of visitor spending to resident spending - 2006
prop_vis_spending_07,Ratio of visitor spending to resident spending - 2007
prop_vis_spending_08,Ratio of visitor spending to resident spending - 2008
prop_vis_spending_09,Ratio of visitor spending to resident spending - 2009
prop_vis_spending_10,Ratio of visitor spending to resident spending - 2010
prop_vis_spending_11,Ratio of visitor spending to resident spending - 2011
prop_vis_spending_12,Ratio of visitor spending to resident spending - 2012
prop_vis_spending_13,Ratio of visitor spending to resident spending - 2013
prop_vis_spending_14,Ratio of visitor spending to resident spending - 2014
prop_vis_spending_15,Ratio of visitor spending to resident spending - 2015
prop_vis_spending_16,Ratio of visitor spending to resident spending - 2016
hotel_occ_05,Hotel occupancy rate - 2005
hotel_occ_06,Hotel occupancy rate - 2006
hotel_occ_07,Hotel occupancy rate - 2007
hotel_occ_08,Hotel occupancy rate - 2008
hotel_occ_09,Hotel occupancy rate - 2009
hotel_occ_10,Hotel occupancy rate - 2010
hotel_occ_11,Hotel occupancy rate - 2011
hotel_occ_12,Hotel occupancy rate - 2012
hotel_occ_13,Hotel occupancy rate - 2013
hotel_occ_14,Hotel occupancy rate - 2014
hotel_occ_15,Hotel occupancy rate - 2015
hotel_occ_16,Hotel occupancy rate - 2016
NPS_total_val_12,Total value added by National Parks - 2012
NPS_total_val_13,Total value added by National Parks - 2013
NPS_total_val_14,Total value added by National Parks - 2014
NPS_total_val_15,Total value added by National Parks - 2015
NPS_total_val_16,Total value added by National Parks - 2016
NPS_coral_val_12,Total value added by National Parks containing coral reefs - 2012
NPS_coral_val_13,Total value added by National Parks containing coral reefs - 2013
NPS_coral_val_14,Total value added by National Parks containing coral reefs - 2014
NPS_coral_val_15,Total value added by National Parks containing coral reefs - 2015
NPS_coral_val_16,Total value added by National Parks containing coral reefs - 2016
NPS_spending_12,Total visitor spending at National Parks - 2012
NPS_spending_13,Total visitor spending at National Parks - 2013
NPS_spending_14,Total visitor spending at National Parks - 2014
NPS_spending_15,Total visitor spending at National Parks - 2015
NPS_spending_16,Total visitor spending at National Parks - 2016
NPS_coral_spending_12,Total visitor spending by visitors at National Parks containing coral reefs - 2012
NPS_coral_spending_13,Total visitor spending by visitors at National Parks containing coral reefs - 2013
NPS_coral_spending_14,Total visitor spending by visitors at National Parks containing coral reefs - 2014
NPS_coral_spending_15,Total visitor spending by visitors at National Parks containing coral reefs - 2015
NPS_coral_spending_16,Total visitor spending by visitors at National Parks containing coral reefs - 2016
NPS_emp_12,Jobs supported by National Parks - 2012
NPS_emp_13,Jobs supported by National Parks - 2013
NPS_emp_14,Jobs supported by National Parks - 2014
NPS_emp_15,Jobs supported by National Parks - 2015
NPS_emp_16,Jobs supported by National Parks - 2016
NPS_coral_emp_12,Jobs supported by National Parks that contain coral reefs- 2012
NPS_coral_emp_13,Jobs supported by National Parks that contain coral reefs- 2013
NPS_coral_emp_14,Jobs supported by National Parks that contain coral reefs- 2014
NPS_coral_emp_15,Jobs supported by National Parks that contain coral reefs- 2015
NPS_coral_emp_16,Jobs supported by National Parks that contain coral reefs- 2016
pov_2000,Poverty Rate - 2000
pov_2001,Poverty Rate - 2001
pov_2002,Poverty Rate - 2002
pov_2003,Poverty Rate - 2003
pov_2004,Poverty Rate - 2004
pov_2005,Poverty Rate - 2005
pov_2006,Poverty Rate - 2006
pov_2007,Poverty Rate - 2007
pov_2008,Poverty Rate - 2008
pov_2009,Poverty Rate - 2009
pov_2010,Poverty Rate - 2010
pov_2011,Poverty Rate - 2011
pov_2012,Poverty Rate - 2012
pov_2013,Poverty Rate - 2013
pov_2014,Poverty Rate - 2014
pov_2015,Poverty Rate - 2015
pov_2016,Poverty Rate - 2016
hhinc_2000,Median Household Income - 2000
hhinc_2001,Median Household Income - 2001
hhinc_2002,Median Household Income - 2002
hhinc_2003,Median Household Income - 2003
hhinc_2004,Median Household Income - 2004
hhinc_2005,Median Household Income - 2005
hhinc_2006,Median Household Income - 2006
hhinc_2007,Median Household Income - 2007
hhinc_2008,Median Household Income - 2008
hhinc_2009,Median Household Income - 2009
hhinc_2010,Median Household Income - 2010
hhinc_2011,Median Household Income - 2011
hhinc_2012,Median Household Income - 2012
hhinc_2013,Median Household Income - 2013
hhinc_2014,Median Household Income - 2014
hhinc_2015,Median Household Income - 2015
hhinc_2016,Median Household Income - 2016
unemp_2000,Unemployment Rate - 2000
unemp_2001,Unemployment Rate - 2001
unemp_2002,Unemployment Rate - 2002
unemp_2003,Unemployment Rate - 2003
unemp_2004,Unemployment Rate - 2004
unemp_2005,Unemployment Rate - 2005
unemp_2006,Unemployment Rate - 2006
unemp_2007,Unemployment Rate - 2007
unemp_2008,Unemployment Rate - 2008
unemp_2009,Unemployment Rate - 2009
unemp_2010,Unemployment Rate - 2010
unemp_2011,Unemployment Rate - 2011
unemp_2012,Unemployment Rate - 2012
unemp_2013,Unemployment Rate - 2013
unemp_2014,Unemployment Rate - 2014
unemp_2015,Unemployment Rate - 2015
unemp_2016,Unemployment Rate - 2016
unemp_2017,Unemployment Rate - 2017
med_home_val_2000,Median Home Value - 2000
med_home_val_2001,Median Home Value - 2001
med_home_val_2002,Median Home Value - 2002
med_home_val_2003,Median Home Value - 2003
med_home_val_2004,Median Home Value - 2004
med_home_val_2005,Median Home Value - 2005
med_home_val_2006,Median Home Value - 2006
med_home_val_2007,Median Home Value - 2007
med_home_val_2008,Median Home Value - 2008
med_home_val_2009,Median Home Value - 2009
med_home_val_2010,Median Home Value - 2010
med_home_val_2011,Median Home Value - 2011
med_home_val_2012,Median Home Value - 2012
med_home_val_2013,Median Home Value - 2013
med_home_val_2014,Median Home Value - 2014
med_home_val_2015,Median Home Value - 2015
med_home_val_2016,Median Home Value - 2016
med_home_val_2017,Median Home Value - 2017
HS_2000,Percent of people age 25+ with High school Diploma - 2000
HS_2001,Percent of people age 25+ with High school Diploma - 2001
HS_2002,Percent of people age 25+ with High school Diploma - 2002
HS_2003,Percent of people age 25+ with High school Diploma - 2003
HS_2004,Percent of people age 25+ with High school Diploma - 2004
HS_2005,Percent of people age 25+ with High school Diploma - 2005
HS_2006,Percent of people age 25+ with High school Diploma - 2006
HS_2007,Percent of people age 25+ with High school Diploma - 2007
HS_2008,Percent of people age 25+ with High school Diploma - 2008
HS_2009,Percent of people age 25+ with High school Diploma - 2009
HS_2010,Percent of people age 25+ with High school Diploma - 2010
HS_2011,Percent of people age 25+ with High school Diploma - 2011
HS_2012,Percent of people age 25+ with High school Diploma - 2012
HS_2013,Percent of people age 25+ with High school Diploma - 2013
HS_2014,Percent of people age 25+ with High school Diploma - 2014
HS_2015,Percent of people age 25+ with High school Diploma - 2015
HS_2016,Percent of people age 25+ with High school Diploma - 2016
HS_2017,Percent of people age 25+ with High school Diploma - 2017
bach_2000,Percent of people age 25+ with Bachelor's Degree_2000
bach_2001,Percent of people age 25+ with Bachelor's Degree_2001
bach_2002,Percent of people age 25+ with Bachelor's Degree_2002
bach_2003,Percent of people age 25+ with Bachelor's Degree_2003
bach_2004,Percent of people age 25+ with Bachelor's Degree_2004
bach_2005,Percent of people age 25+ with Bachelor's Degree_2005
bach_2006,Percent of people age 25+ with Bachelor's Degree_2006
bach_2007,Percent of people age 25+ with Bachelor's Degree_2007
bach_2008,Percent of people age 25+ with Bachelor's Degree_2008
bach_2009,Percent of people age 25+ with Bachelor's Degree_2009
bach_2010,Percent of people age 25+ with Bachelor's Degree_2010
bach_2011,Percent of people age 25+ with Bachelor's Degree_2011
bach_2012,Percent of people age 25+ with Bachelor's Degree_2012
bach_2013,Percent of people age 25+ with Bachelor's Degree_2013
bach_2014,Percent of people age 25+ with Bachelor's Degree_2014
bach_2015,Percent of people age 25+ with Bachelor's Degree_2015
bach_2016,Percent of people age 25+ with Bachelor's Degree_2016
bach_2017,Percent of people age 25+ with Bachelor's Degree_2017
k12enroll_2000,Proportion ofchildren age 3-19 enrolled in K-12 - 2000
k12enroll_2005,Proportion ofchildren age 3-19 enrolled in K-12 - 2005
k12enroll_2006,Proportion ofchildren age 3-19 enrolled in K-12 - 2006
k12enroll_2007,Proportion ofchildren age 3-19 enrolled in K-12 - 2007
k12enroll_2008,Proportion ofchildren age 3-19 enrolled in K-12 - 2008
k12enroll_2009,Proportion ofchildren age 3-19 enrolled in K-12 - 2009
k12enroll_2010,Proportion ofchildren age 3-19 enrolled in K-12 - 2010
k12enroll_2011,Proportion ofchildren age 3-19 enrolled in K-12 - 2011
