"Year","Region","Angler.Trips","SE.Trips"
2004,"Gulf of Mexico",66.605828,2034584.002
2005,"Gulf of Mexico",58.982656,1800030.283
2006,"Gulf of Mexico",55.519783,1635766.17
2007,"Gulf of Mexico",59.248601,1750225.86
2008,"Gulf of Mexico",60.903235,1560815.88
2009,"Gulf of Mexico",57.640292,1531925.082
2010,"Gulf of Mexico",61.393349,1754718.544
2011,"Gulf of Mexico",62.732116,1729227.584
2012,"Gulf of Mexico",67.559904,1796323.5
2013,"Gulf of Mexico",69.150749,1840697.109
2014,"Gulf of Mexico",52.601871,1807590.715
2015,"Gulf of Mexico",50.495086,1834412.936
2016,"Gulf of Mexico",54.286594,2181842.265
2017,"Gulf of Mexico",58.513745,2816988.832
2018,"Gulf of Mexico",55.584568,2561873.086
2019,"Gulf of Mexico",49.889763,2238219.654
2020,"Gulf of Mexico",56.737663,2614127.498
2021,"Gulf of Mexico",43.027891,2366534.005
1981,"Northeast",44.092107,1796797.414
1982,"Northeast",46.825818,1679320.668
1983,"Northeast",44.621334,1470066.405
1984,"Northeast",43.930032,1693585.274
1985,"Northeast",45.246154,1575188.902
1986,"Northeast",45.302027,1648021.965
1987,"Northeast",43.666606,1481999.789
1988,"Northeast",43.867931,1151299.787
1989,"Northeast",43.535927,1055301.374
1990,"Northeast",46.336928,1202141.491
1991,"Northeast",47.970472,1240897.745
1992,"Northeast",47.286396,1238224.54
1993,"Northeast",50.520619,1238688.642
1994,"Northeast",51.874451,1272854.405
1995,"Northeast",52.910547,1423855.965
1996,"Northeast",53.629592,1425790.04
1997,"Northeast",57.277216,1370008.21
1998,"Northeast",56.76187,1324022.444
1999,"Northeast",61.11548,1466771.52
2000,"Northeast",64.740768,1509448.041
2001,"Northeast",68.261444,1496611.582
2002,"Northeast",66.900553,1492905.929
2003,"Northeast",70.015727,1579490.917
2004,"Northeast",70.74139,2298692.684
2005,"Northeast",72.605077,2351328.395
2006,"Northeast",72.072086,2172976.032
2007,"Northeast",72.472212,2198768.809
2008,"Northeast",73.916746,2397709.746
2009,"Northeast",75.395698,2393795.481
2010,"Northeast",79.409321,2566586.837
2011,"Northeast",76.485465,2450793.175
2012,"Northeast",75.66675,2458359.19
2013,"Northeast",70.876982,2024054.292
2014,"Northeast",70.439757,2451141.363
2015,"Northeast",64.628776,2189892.314
2016,"Northeast",65.840717,2413403.558
2017,"Northeast",62.754508,2832442.58
2018,"Northeast",54.134008,2045727.18
2019,"Northeast",60.185069,2450486.523
2020,"Northeast",65.138311,2230726.353
2021,"Northeast",52.243558,2061706.824
1981,"Southeast",43.097652,2715152.076
1982,"Southeast",54.611177,2512114.142
1983,"Southeast",56.811404,2613324.584
1984,"Southeast",56.040453,2297658.573
1985,"Southeast",54.775548,2519675.208
1986,"Southeast",57.528133,3796856.778
1987,"Southeast",59.27345,3793500.8
1988,"Southeast",55.391411,2437222.084
1989,"Southeast",56.241364,2643344.108
1990,"Southeast",57.823411,2370759.851
1991,"Southeast",59.75056,2449772.96
1992,"Southeast",61.367749,1963767.968
1993,"Southeast",59.819746,1914231.872
1994,"Southeast",59.443691,1604979.657
1995,"Southeast",55.74106,1560749.68
1996,"Southeast",58.384201,1809910.231
1997,"Southeast",60.576566,1938450.112
1998,"Southeast",59.597638,1787929.14
1999,"Southeast",60.131183,1803935.49
2000,"Southeast",67.451587,1956096.023
2001,"Southeast",67.257701,1950473.329
2002,"Southeast",68.756879,1993949.491
2003,"Southeast",69.503899,1946109.172
2004,"Southeast",69.861835,2235578.72
2005,"Southeast",74.819037,2768304.369
2006,"Southeast",78.77665,2599629.45
2007,"Southeast",76.781235,2380218.285
2008,"Southeast",76.167326,2589689.084
2009,"Southeast",78.605258,2593973.514
2010,"Southeast",79.860985,2555551.52
2011,"Southeast",76.673568,2453554.176
2012,"Southeast",69.33394,2149352.14
2013,"Southeast",68.462896,1985423.984
2014,"Southeast",75.376673,2638183.555
2015,"Southeast",75.789428,2728419.408
2016,"Southeast",73.069413,2849707.107
2017,"Southeast",76.869011,3766581.539
2018,"Southeast",75.100982,3004039.28
2019,"Southeast",69.328994,2842488.754
2020,"Southeast",70.459383,3100212.852
2021,"Southeast",68.498215,3424910.75
2003,"Hawai'i",2.402259,117710.691
2004,"Hawai'i",2.870791,137797.968
2005,"Hawai'i",2.470403,113638.538
2006,"Hawai'i",2.644092,118984.14
2007,"Hawai'i",2.576671,141716.905
2008,"Hawai'i",2.530598,131591.096
2009,"Hawai'i",2.163026,97336.17
2010,"Hawai'i",2.39023,131462.65
2011,"Hawai'i",1.381713,84284.493
2012,"Hawai'i",1.519488,89649.792
2013,"Hawai'i",1.512876,92285.436
2014,"Hawai'i",1.374405,82464.3
2015,"Hawai'i",1.431048,93018.12
2016,"Hawai'i",1.024198,69645.464
2017,"Hawai'i",1.279884,98551.068
2018,"Hawai'i",3.420697,194979.729
2019,"Hawai'i",3.479082,173954.1
2020,"Hawai'i",3.901794,171678.936
2021,"Hawai'i",3.39247,169623.5
