"Year","Region","RCatch","SE"
2020,"Southeast",370.142738,33198451.938
2021,"Southeast",268.719117,11403461.374
2003,"Hawai'i",12.510992,3579732.296
2004,"Hawai'i",4.457613,310489.146
2005,"Hawai'i",4.738853,265230.416
2006,"Hawai'i",5.17538,359114.25
2007,"Hawai'i",3.710232,765275.852
2008,"Hawai'i",4.681071,349124.823
2009,"Hawai'i",6.093064,768742.956
2010,"Hawai'i",5.206505,439974.89
2011,"Hawai'i",2.667712,306210.037
2012,"Hawai'i",3.056759,220237.098
2013,"Hawai'i",3.944354,322565.484
2014,"Hawai'i",4.153703,261212.291
2015,"Hawai'i",5.179097,381090.17
2016,"Hawai'i",2.865547,171743.058
2017,"Hawai'i",3.43095,255572.616
2018,"Hawai'i",11.648028,849019.812
2019,"Hawai'i",12.242547,915740.352
2020,"Hawai'i",9.440573,661347.212
2021,"Hawai'i",9.167736,1331093.995
