Estimate Status,Year,Region,Common Name,Total Harvest (A+B1),PSE Harvest,Released (B2),PSE Released
PRELIMINARY,1981,SOUTHERN CALIFORNIA,STRIPED SEAPERCH,4373,47.4,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SARGO,4214,39.2,2881,92.8
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BLACK CROAKER,3888,36.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,STARRY FLOUNDER,3725,30.8,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PETRALE SOLE,3549,28,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BUTTERFISHES,3456,70.7,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SABLEFISHES,3407,70.1,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,ALBACORE,3324,29,1033,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SPADEFISHES,3193,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALIFORNIA NEEDLEFISH,3092,37.1,8761,39.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GIANT KELPFISH,3071,44.5,5418,84.8
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CHAMELEON ROCKFISH,3043,78.2,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,WHITEBELLY ROCKFISH,3019,41.2,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SALEMA,3017,72.1,648,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,MONKEYFACE PRICKLEBACK,2665,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,HERRING FAMILY,2562,82.3,1337,52.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BLACKSMITH,2523,31.7,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BLUE SHARK,2372,41.1,3843,54.1
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CHINOOK SALMON,2359,40.7,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,YELLOWEYE ROCKFISH,1901,51.5,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,KELP GREENLING,1814,38.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,STINGRAYS,1777,100,24493,20.4
PRELIMINARY,1981,SOUTHERN CALIFORNIA,HALFBANDED ROCKFISH,1656,44.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,ROCK WRASSE,1586,61.7,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,FINESCALE TRIGGERFISH,1558,40.3,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC SLEEPER SHARK,1514,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SEA BASS FAMILY,1482,51,36925,24.4
PRELIMINARY,1981,SOUTHERN CALIFORNIA,TIGER ROCKFISH,1454,72.4,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GIANT SEABASS,1410,54.7,1174,70.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BAT RAY,1404,77.3,8085,33.5
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BROWN SMOOTHHOUND,1358,66.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SPLITNOSE ROCKFISH,1288,58.2,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,RAINBOW SEAPERCH,1259,58,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SHORTBELLY ROCKFISH,1244,60.2,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SENORITA,1236,67.8,9929,62.2
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BANDED GUITARFISH,893,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CAPELIN SMELT,855,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,LEOPARD SHARK,850,72,2133,64.9
PRELIMINARY,1981,SOUTHERN CALIFORNIA,FANTAIL SOLE,821,74.5,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,STRIPED BASS,818,70.7,355,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,ROCK SOLE,652,63.5,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BIG SKATE,587,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SICKLEFIN SMOOTHHOUND,506,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SHARPCHIN ROCKFISH,479,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC OCEAN PERCH,476,70.6,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CREVICE KELPFISH,398,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SAILFIN SCULPIN,398,57.6,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC ANGEL SHARK,393,99.9,860,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,RATFISH,393,57.6,398,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,MEXICAN ROCKFISH,388,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,LEFTEYE FLOUNDER FAMILY,379,70,3196,38.6
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BUFFALO SCULPIN,360,100.1,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,KELP PERCH,345,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,ANGEL SHARK FAMILY,343,100.1,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SPECKLED SANDDAB,293,57.7,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC HAKE,284,100.1,295,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC CUTLASSFISH,216,100,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,NORTHERN ANCHOVY,190,99.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,REDTAIL SURFPERCH,190,99.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,DAMSELFISHES,95,99.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SHARPNOSE SEAPERCH,95,57.6,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SKATE FAMILY,95,99.9,4510,37.7
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SPOTTED TURBOT,95,99.9,0,.
PRELIMINARY,1981,SOUTHERN CALIFORNIA,ROUND STINGRAY,94,100.2,1452,64.9
PRELIMINARY,1981,SOUTHERN CALIFORNIA,BOTTOMFISH (GROUNDFISH),0,.,1411,77.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALIFORNIA FLYINGFISH,0,.,1023,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CALIFORNIA SKATE,0,.,1067,84.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,CLINID FAMILY,0,.,4871,37.2
PRELIMINARY,1981,SOUTHERN CALIFORNIA,DOGFISH SHARK FAMILY,0,.,190,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GARIBALDI,0,.,4843,47.9
PRELIMINARY,1981,SOUTHERN CALIFORNIA,GUITARFISH FAMILY,0,.,3273,59.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,HAKES,0,.,295,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,KINGFISH,0,.,689,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,PACIFIC MANTA,0,.,293,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,RONQUILS,0,.,3007,70.5
PRELIMINARY,1981,SOUTHERN CALIFORNIA,ROSETHORN ROCKFISH,0,.,398,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SCALELESS DRAGONFISHES,0,.,284,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SCOMBRID FAMILY,0,.,1796,71.1
PRELIMINARY,1981,SOUTHERN CALIFORNIA,SCULPIN FAMILY (COTTIDAE),0,.,1042,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,STRIPED MARLIN,0,.,506,100
PRELIMINARY,1981,SOUTHERN CALIFORNIA,UNIDENTIFIED (SURFACE FISH),0,.,888,59.3
PRELIMINARY,1981,SOUTHERN CALIFORNIA,W. OTHER FISHES,0,.,11849,38.1
PRELIMINARY,1981,NORTHERN CALIFORNIA,SURF SMELT,2803401,17.8,653,21.8
PRELIMINARY,1981,NORTHERN CALIFORNIA,PACIFIC SANDDAB,2228784,22,5312,100
PRELIMINARY,1981,NORTHERN CALIFORNIA,BLUE ROCKFISH,1137425,10.4,40826,27.8
PRELIMINARY,1981,NORTHERN CALIFORNIA,ROCKFISH GENUS,882414,12.1,93262,15.8
PRELIMINARY,1981,NORTHERN CALIFORNIA,BLACK ROCKFISH,471716,7.7,26264,16.8
PRELIMINARY,1981,NORTHERN CALIFORNIA,JACKSMELT,414979,34.3,9039,19.3
PRELIMINARY,1981,NORTHERN CALIFORNIA,COPPER ROCKFISH,391406,69.7,283,100
PRELIMINARY,1981,NORTHERN CALIFORNIA,YELLOWTAIL ROCKFISH,376688,13.2,406,100
PRELIMINARY,1981,NORTHERN CALIFORNIA,LINGCOD,303908,6.6,21122,20.8
PRELIMINARY,1981,NORTHERN CALIFORNIA,CHUB MACKEREL,291616,19.1,45006,45.3
PRELIMINARY,1981,NORTHERN CALIFORNIA,BARRED SURFPERCH,250834,9.6,7125,47
PRELIMINARY,1981,NORTHERN CALIFORNIA,REDTAIL SURFPERCH,238934,10.5,32488,16.4
PRELIMINARY,1981,NORTHERN CALIFORNIA,WHITE CROAKER,229645,14.7,65157,22.2
PRELIMINARY,1981,NORTHERN CALIFORNIA,PACIFIC HERRING,203582,34.7,6591,71.7
PRELIMINARY,1981,NORTHERN CALIFORNIA,CANARY ROCKFISH,163705,8.3,1015,44.4
PRELIMINARY,1981,NORTHERN CALIFORNIA,STRIPED SEAPERCH,144511,11,10080,40
PRELIMINARY,1981,NORTHERN CALIFORNIA,BOCACCIO,135294,14.2,5036,100
PRELIMINARY,1981,NORTHERN CALIFORNIA,BROWN ROCKFISH,127035,16.3,22537,42.8
PRELIMINARY,1981,NORTHERN CALIFORNIA,SCORPIONFISH FAMILY,124719,36,20919,19.2
PRELIMINARY,1981,NORTHERN CALIFORNIA,RUBBERLIP SEAPERCH,119705,21.9,10842,35.9
PRELIMINARY,1981,NORTHERN CALIFORNIA,WALLEYE SURFPERCH,108672,12.4,6115,29.5
PRELIMINARY,1981,NORTHERN CALIFORNIA,CHILIPEPPER ROCKFISH,105045,29.8,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,SANDDAB GENUS,99512,15.8,32519,19.3
PRELIMINARY,1981,NORTHERN CALIFORNIA,KELP GREENLING,90176,8.7,18065,16.1
PRELIMINARY,1981,NORTHERN CALIFORNIA,SURFPERCH FAMILY,88326,15.8,134229,10.2
PRELIMINARY,1981,NORTHERN CALIFORNIA,ROUGHEYE ROCKFISH,78828,99.8,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,OLIVE ROCKFISH,76049,20.7,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,NORTHERN ANCHOVY,67534,49,3715,79
PRELIMINARY,1981,NORTHERN CALIFORNIA,SHORTRAKER ROCKFISH,60366,57.8,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,SHINER PERCH,58897,25,59482,21.3
PRELIMINARY,1981,NORTHERN CALIFORNIA,CABEZON,58017,9.7,6921,25.4
PRELIMINARY,1981,NORTHERN CALIFORNIA,SILVER SURFPERCH,57063,17.6,4127,53.5
PRELIMINARY,1981,NORTHERN CALIFORNIA,WHITE SEAPERCH,56449,14.2,2285,55.6
PRELIMINARY,1981,NORTHERN CALIFORNIA,GREENSPOTTED ROCKFISH,50565,14.4,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,STARRY FLOUNDER,47214,14.8,4216,35.3
PRELIMINARY,1981,NORTHERN CALIFORNIA,RAINBOW SEAPERCH,39212,36.5,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,BLACK PERCH,37157,39.7,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,PACIFIC STAGHORN SCULPIN,36862,13,451482,8.9
PRELIMINARY,1981,NORTHERN CALIFORNIA,UNIDENTIFIED FISH,36454,45.7,8959,25.5
PRELIMINARY,1981,NORTHERN CALIFORNIA,STRIPED BASS,32563,42.2,72970,36.1
PRELIMINARY,1981,NORTHERN CALIFORNIA,CHINOOK SALMON,30042,23.3,4449,51.2
PRELIMINARY,1981,NORTHERN CALIFORNIA,PILE PERCH,28241,18.4,267,100
PRELIMINARY,1981,NORTHERN CALIFORNIA,SEA BASS FAMILY,26818,95.1,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,ROCK GREENLING,25110,17.1,918,53.3
PRELIMINARY,1981,NORTHERN CALIFORNIA,ROSY ROCKFISH,21482,16.4,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,WHITE STURGEON,19789,18.8,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,LEOPARD SHARK,18383,25.3,48117,19
PRELIMINARY,1981,NORTHERN CALIFORNIA,YELLOWEYE ROCKFISH,17838,17.6,1174,43.5
PRELIMINARY,1981,NORTHERN CALIFORNIA,WIDOW ROCKFISH,17388,26.3,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,SAND SOLE,14844,17.8,283,100
PRELIMINARY,1981,NORTHERN CALIFORNIA,SPOTFIN SURFPERCH,14739,98.1,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,SWORDSPINE ROCKFISH,14323,18,921,22.2
PRELIMINARY,1981,NORTHERN CALIFORNIA,VERMILION ROCKFISH,14252,19,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,STARRY ROCKFISH,13917,28,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,CHINA ROCKFISH,11500,16.9,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,BROWN SMOOTHHOUND,10113,25.3,14827,23.2
PRELIMINARY,1981,NORTHERN CALIFORNIA,GREENSTRIPED ROCKFISH,9740,40.7,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,PACIFIC HAKE,9171,37,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,STEELHEAD,9148,31,12814,112.2
PRELIMINARY,1981,NORTHERN CALIFORNIA,ROSETHORN ROCKFISH,9087,23.5,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,BOTTOMFISH (GROUNDFISH),7315,61.3,4455,31.8
PRELIMINARY,1981,NORTHERN CALIFORNIA,KELP ROCKFISH,6784,36.3,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,GREENLING GENUS,5634,39.9,7452,44.1
PRELIMINARY,1981,NORTHERN CALIFORNIA,RIGHTEYE FLOUNDER FAMILY,5551,48.7,6256,28.2
PRELIMINARY,1981,NORTHERN CALIFORNIA,CALICO SURFPERCH,5060,26.6,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,UNIDENTIFIED (SHARKS),4959,38.4,150504,21.9
PRELIMINARY,1981,NORTHERN CALIFORNIA,LONGSPINE THORNYHEAD,4854,70.5,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,CALIFORNIA HALIBUT,4693,33.9,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,GRASS ROCKFISH,4600,22.6,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,SHARPNOSE SEAPERCH,4293,33.6,323,100
PRELIMINARY,1981,NORTHERN CALIFORNIA,BUFFALO SCULPIN,3949,22.3,599,47.8
PRELIMINARY,1981,NORTHERN CALIFORNIA,KELP PERCH,3665,42.5,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,ROCK SOLE,3626,41.4,476,100
PRELIMINARY,1981,NORTHERN CALIFORNIA,SPECKLED ROCKFISH,3611,45.3,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,YELLOWFIN GOBY,3431,66.5,3123,35.8
PRELIMINARY,1981,NORTHERN CALIFORNIA,QUILLBACK ROCKFISH,3109,30.5,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,BLACK AND YELLOW ROCKFISH,2798,31.5,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,MONKEYFACE PRICKLEBACK,2791,45,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,STINGRAYS,2633,67.8,8748,31.5
PRELIMINARY,1981,NORTHERN CALIFORNIA,SPECKLED SANDDAB,2621,65,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,SPINY DOGFISH,2604,39.3,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,PRICKLEBACKS,2499,38.8,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,PACIFIC TOMCOD,2379,58,7176,90.4
PRELIMINARY,1981,NORTHERN CALIFORNIA,BAT RAY,2279,46.4,9664,33.5
PRELIMINARY,1981,NORTHERN CALIFORNIA,COW ROCKFISH,2161,46.5,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,PETRALE SOLE,1439,42.2,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,DOVER SOLE,1413,57.6,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,SCULPIN FAMILY (COTTIDAE),1402,62.7,7920,22.7
PRELIMINARY,1981,NORTHERN CALIFORNIA,COHO SALMON,1264,47.4,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,ROCK PRICKLEBACK,1156,71.2,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,LEFTEYE FLOUNDER FAMILY,1075,59.2,2567,39
PRELIMINARY,1981,NORTHERN CALIFORNIA,RED IRISH LORD,1039,40.9,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,TIGER ROCKFISH,1007,70.1,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,WOLFEEL WOLFFISH,975,44.1,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,SICKLEFIN SMOOTHHOUND,861,70.5,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,SKATE FAMILY,857,100,21259,25.3
PRELIMINARY,1981,NORTHERN CALIFORNIA,FLATFISH ORDER,818,58.9,507,73.3
PRELIMINARY,1981,NORTHERN CALIFORNIA,FLAG ROCKFISH,811,47.9,0,.
PRELIMINARY,1981,NORTHERN CALIFORNIA,GREENLING FAMILY,746,79.3,194,100
