"Year","Region","Angler.Trips","SE.Trips"
1982,"Gulf of Mexico",35252.995,1431098.572
1983,"Gulf of Mexico",38687.55,2135394.464
1984,"Gulf of Mexico",40294.781,1467806.391
1985,"Gulf of Mexico",39715.554,1910194.685
1986,"Gulf of Mexico",34777.463,1328891.538
1987,"Gulf of Mexico",35565.221,1282429.509
1988,"Gulf of Mexico",40452.946,1306610.019
1989,"Gulf of Mexico",42494.911,1543677.444
1990,"Gulf of Mexico",41108.364,1371592.912
1991,"Gulf of Mexico",48840.233,1827052.578
1992,"Gulf of Mexico",42659.175,1128258.072
1993,"Gulf of Mexico",47582.902,1354341.847
1994,"Gulf of Mexico",47283.855,1157310.6
1995,"Gulf of Mexico",45163.399,1060234.68
1996,"Gulf of Mexico",44758.171,1093675.85
1997,"Gulf of Mexico",45581.897,1162453.942
1998,"Gulf of Mexico",48221.856,1182337.5
1999,"Gulf of Mexico",54130.122,1272670.68
2000,"Gulf of Mexico",56786.33,1447776.616
2001,"Gulf of Mexico",59284.981,1399841.448
2002,"Gulf of Mexico",55040.573,1298797.56
2003,"Gulf of Mexico",59001.845,1392522.864
2004,"Gulf of Mexico",66605.828,2034584.002
2005,"Gulf of Mexico",58982.656,1800030.283
2006,"Gulf of Mexico",55519.783,1635766.17
2007,"Gulf of Mexico",59248.601,1750225.86
2008,"Gulf of Mexico",60903.235,1560815.88
2009,"Gulf of Mexico",57640.292,1531925.082
2010,"Gulf of Mexico",61393.349,1754718.544
2011,"Gulf of Mexico",62732.116,1729227.584
2012,"Gulf of Mexico",67559.904,1796323.5
2013,"Gulf of Mexico",69150.749,1840697.109
2014,"Gulf of Mexico",52601.871,1807590.715
2015,"Gulf of Mexico",50495.086,1834412.936
2016,"Gulf of Mexico",54286.594,2181842.265
2017,"Gulf of Mexico",58513.745,2816988.832
2018,"Gulf of Mexico",55584.568,2561873.086
2019,"Gulf of Mexico",49889.763,2238219.654
2020,"Gulf of Mexico",56737.663,2614127.498
2021,"Gulf of Mexico",43027.891,2366534.005
1981,"Northeast",44092.107,1796797.414
1982,"Northeast",46825.818,1679320.668
1983,"Northeast",44621.334,1470066.405
1984,"Northeast",43930.032,1693585.274
1985,"Northeast",45246.154,1575188.902
1986,"Northeast",45302.027,1648021.965
1987,"Northeast",43666.606,1481999.789
1988,"Northeast",43867.931,1151299.787
1989,"Northeast",43535.927,1055301.374
1990,"Northeast",46336.928,1202141.491
1991,"Northeast",47970.472,1240897.745
1992,"Northeast",47286.396,1238224.54
1993,"Northeast",50520.619,1238688.642
1994,"Northeast",51874.451,1272854.405
1995,"Northeast",52910.547,1423855.965
1996,"Northeast",53629.592,1425790.04
1997,"Northeast",57277.216,1370008.21
1998,"Northeast",56761.87,1324022.444
1999,"Northeast",61115.48,1466771.52
2000,"Northeast",64740.768,1509448.041
2001,"Northeast",68261.444,1496611.582
2002,"Northeast",66900.553,1492905.929
2003,"Northeast",70015.727,1579490.917
2004,"Northeast",70741.39,2298692.684
2005,"Northeast",72605.077,2351328.395
2006,"Northeast",72072.086,2172976.032
2007,"Northeast",72472.212,2198768.809
2008,"Northeast",73916.746,2397709.746
2009,"Northeast",75395.698,2393795.481
2010,"Northeast",79409.321,2566586.837
2011,"Northeast",76485.465,2450793.175
2012,"Northeast",75666.75,2458359.19
2013,"Northeast",70876.982,2024054.292
2014,"Northeast",70439.757,2451141.363
2015,"Northeast",64628.776,2189892.314
2016,"Northeast",65840.717,2413403.558
2017,"Northeast",62754.508,2832442.58
2018,"Northeast",54134.008,2045727.18
2019,"Northeast",60185.069,2450486.523
2020,"Northeast",65138.311,2230726.353
2021,"Northeast",52243.558,2061706.824
1981,"Southeast",43097.652,2715152.076
1982,"Southeast",54611.177,2512114.142
1983,"Southeast",56811.404,2613324.584
1984,"Southeast",56040.453,2297658.573
1985,"Southeast",54775.548,2519675.208
1986,"Southeast",57528.133,3796856.778
1987,"Southeast",59273.45,3793500.8
1988,"Southeast",55391.411,2437222.084
1989,"Southeast",56241.364,2643344.108
1990,"Southeast",57823.411,2370759.851
1991,"Southeast",59750.56,2449772.96
1992,"Southeast",61367.749,1963767.968
1993,"Southeast",59819.746,1914231.872
1994,"Southeast",59443.691,1604979.657
1995,"Southeast",55741.06,1560749.68
1996,"Southeast",58384.201,1809910.231
1997,"Southeast",60576.566,1938450.112
1998,"Southeast",59597.638,1787929.14
1999,"Southeast",60131.183,1803935.49
2000,"Southeast",67451.587,1956096.023
2001,"Southeast",67257.701,1950473.329
2002,"Southeast",68756.879,1993949.491
2003,"Southeast",69503.899,1946109.172
2004,"Southeast",69861.835,2235578.72
2005,"Southeast",74819.037,2768304.369
2006,"Southeast",78776.65,2599629.45
2007,"Southeast",76781.235,2380218.285
2008,"Southeast",76167.326,2589689.084
2009,"Southeast",78605.258,2593973.514
2010,"Southeast",79860.985,2555551.52
2011,"Southeast",76673.568,2453554.176
2012,"Southeast",69333.94,2149352.14
2013,"Southeast",68462.896,1985423.984
2014,"Southeast",75376.673,2638183.555
2015,"Southeast",75789.428,2728419.408
2016,"Southeast",73069.413,2849707.107
2017,"Southeast",76869.011,3766581.539
2018,"Southeast",75100.982,3004039.28
2019,"Southeast",69328.994,2842488.754
2020,"Southeast",70459.383,3100212.852
2021,"Southeast",68498.215,3424910.75
2003,"Hawai'i",2402.259,117710.691
2004,"Hawai'i",2870.791,137797.968
2005,"Hawai'i",2470.403,113638.538
2006,"Hawai'i",2644.092,118984.14
2007,"Hawai'i",2576.671,141716.905
2008,"Hawai'i",2530.598,131591.096
2009,"Hawai'i",2163.026,97336.17
2010,"Hawai'i",2390.23,131462.65
2011,"Hawai'i",1381.713,84284.493
2012,"Hawai'i",1519.488,89649.792
2013,"Hawai'i",1512.876,92285.436
2014,"Hawai'i",1374.405,82464.3
2015,"Hawai'i",1431.048,93018.12
2016,"Hawai'i",1024.198,69645.464
2017,"Hawai'i",1279.884,98551.068
2018,"Hawai'i",3420.697,194979.729
2019,"Hawai'i",3479.082,173954.1
2020,"Hawai'i",3901.794,171678.936
2021,"Hawai'i",3392.47,169623.5
