"Year","Catch.Millions","Revenue.Millions","CommDiv","RevDiv","Species.Type"
1990,0.449,3.45194736883462,1,1,"Reef"
1991,0.018,0.15547351378469,1,1,"Reef"
1992,0.228,1.57587263058932,1.42876320151045,1.44495088324851,"Reef"
1993,1.154,3.37239114163439,1.0199209302755,1.06742426418433,"Reef"
1994,0.104,0.722094764900309,1.1770645027989,1.58320444388037,"Reef"
1995,0.062,0.536364816084713,1.3742893762672,1.92520058277298,"Reef"
1996,0.073,0.470797027333762,1.07506141428595,1.3504951542158,"Reef"
1997,0.08,0.5147449383189,1.12401472187303,1.44805725190762,"Reef"
1998,0.18703,1.14460337687627,1.0015631752625,1.01686617537117,"Reef"
1999,0.221286,1.40673531910933,1.07123163634295,1.30720228435173,"Reef"
2000,0.068242,0.484505656238885,1.53218789711613,1.92680597973211,"Reef"
2001,0.065336,1.01612388457296,1.44871903124059,1.48470174338483,"Reef"
2002,1.16591,3.88463388151078,10.6445227779104,13.512063184183,"Reef"
2003,1.222985,3.82056788357364,10.3441390551454,13.3022137305166,"Reef"
2004,1.02755,3.22066138320181,10.1827264018815,11.3304229301627,"Reef"
2005,0.940117,3.19369917549444,10.5861284826216,11.637852459341,"Reef"
2006,0.904643,3.02933904921231,9.65604469422899,10.7220997704475,"Reef"
2007,0.974513,3.33268227210216,9.60140714074056,11.0242406022823,"Reef"
2008,0.867507,3.37792046507983,11.6655830138046,12.3750871183542,"Reef"
2009,0.915766,3.62642012990573,10.9360843738451,11.7483817594431,"Reef"
2010,1.075818,4.01156165177332,10.7170355025929,11.665543386798,"Reef"
2011,0.858575,3.29934615371685,11.7184076999343,12.2741732486203,"Reef"
2012,0.987455,3.89077728387926,11.656791773029,13.100858693146,"Reef"
2013,0.997914,4.17294416480995,12.2647076324717,13.9820513489827,"Reef"
2014,0.892411,3.66361382844904,11.982128524508,13.582432350946,"Reef"
2015,0.141971,0.569322609831932,7.96756126922539,7.56572366354711,"Reef"
2016,0.856233,3.43462376624021,9.75702988754919,10.5668074446391,"Reef"
2017,0.814053,3.35363251706047,10.4710665753184,11.3232393577554,"Reef"
2018,0.683817,2.80227212823982,9.82615281815837,10.9311763892243,"Reef"
2019,0.682195,2.71845677983618,9.81676235092507,11.1264738061868,"Reef"
2020,0.638978,2.45609,8.39592919971203,10.0433954945572,"Reef"
1981,0.6,2.81109229305424,2.23609811665925,2.27281897994573,"Deep"
1982,0.595,2.90443916049735,2.21625102152909,2.34101244448826,"Deep"
1983,0.13,0.458880224260958,3.0875863574163,3.44453706016986,"Deep"
1984,0.4,2.92371279519087,1,1,"Deep"
1985,1.246,7.33082519277848,2.9524399441747,2.81537823565681,"Deep"
1986,1.278,7.16736075135936,2.71471153621288,2.56460626490596,"Deep"
1987,1.338,8.41227568361731,2.75736158775154,2.55742210144396,"Deep"
1988,1.675,5.09693248550113,1.98667051738553,2.21258278728087,"Deep"
1989,1.408,8.0243680505452,2.41734641147646,2.27265709446075,"Deep"
1990,1.309,7.36998799336807,2.58193342373523,2.41248665354205,"Deep"
1991,0.824,6.54197996336244,1.51119714509176,1.38679236859381,"Deep"
1992,0.852,4.35940756650699,2.16071944635222,2.40333474401651,"Deep"
1993,1.013,6.48574832571663,2.69826273067378,2.73165373888099,"Deep"
1994,0.6,4.04340759853573,2.23691636294611,2.14619354410101,"Deep"
1995,0.807,4.71494735083316,2.24226287328843,2.20308615673259,"Deep"
1996,0.678,4.23406567486634,2.10394733177846,1.96401938411372,"Deep"
1997,0.536,3.59252253687256,1.96193507251021,1.81754202198583,"Deep"
1998,0.612,3.77909428469838,2.67451812402452,2.50562548416101,"Deep"
1999,0.745198,3.92758604115151,2.20856059850109,2.17482886465166,"Deep"
2000,0.748546,4.00727830605319,2.00085857893756,1.84584588206998,"Deep"
2001,0.587435,2.92887198796721,2.12081036322371,2.10972867454976,"Deep"
2002,0.400279,2.47952376156521,1.00877910954198,1.0139236325998,"Deep"
2003,0.354861,2.29687374040396,1.02958704043021,1.0346512120606,"Deep"
2004,0.371791,2.45590545996122,1.00084154016121,1.00144758389788,"Deep"
2005,0.288998,1.96133660558752,1.00266109568861,1.00431401306682,"Deep"
2006,0.236223,1.64546696430195,1.00024901359267,1.00026833547043,"Deep"
2007,0.232279,1.49447303283749,1.01323110210041,1.013993573611,"Deep"
2008,0.240301,1.46826508355529,1.00558176102269,1.00460828805186,"Deep"
2009,0.284104,1.78282769005317,1.00672008869209,1.00243895606183,"Deep"
2010,0.232951,1.4818192714548,1.00808926196952,1.00636397331335,"Deep"
2011,0.176418,1.16444276785077,1.04065107843014,1.04494883961322,"Deep"
2012,0.21816,1.52595840216603,1.06778786116346,1.08369457514631,"Deep"
2013,0.26465,1.84443789669525,1.17378086189307,1.21713897050452,"Deep"
2014,0.301881,2.14708851026305,1.22550543951102,1.2260306525186,"Deep"
2015,0.135051,1.02364729292814,1.24067071499104,1.20254630628716,"Deep"
2016,0.270077,1.86546006022504,1.07532203548106,1.08477519905061,"Deep"
2017,0.299662,2.15019485136449,1.03499180575079,1.04223779005131,"Deep"
2018,0.204307,1.54593742738977,1.16015745776003,1.19741957709271,"Deep"
2019,0.200409,1.36984686364132,1.06343022984668,1.06858038357315,"Deep"
2020,0.167341,1.007575,1,1,"Deep"
1981,0.009,0.0442304731424617,1,1,"Fishpond"
1982,0.009,0.0416572947322329,1,1,"Fishpond"
1983,0.011,0.0534617737003058,1,1,"Fishpond"
1987,0.007,0.0318948841085016,1,1,"Fishpond"
1988,0.006,0.026957708650176,1,1,"Fishpond"
2002,0.008291,0.0367443648043641,1.58068716691826,1.44369612787406,"Fishpond"
2003,0.010759,0.0456203098812316,1.87976467657617,1.5039030786734,"Fishpond"
2004,0.011382,0.0488934055388895,1.60651778404792,1.40589370069932,"Fishpond"
2005,0.010956,0.0452487869620622,2.09130081818283,1.72116119985297,"Fishpond"
2006,0.009997,0.0406416138734604,2.07635987256773,1.70280132887041,"Fishpond"
2007,0.012135,0.0502724030311535,1.8479310394655,1.53051279134272,"Fishpond"
2008,0.010666,0.0472992962376552,1.99107083608408,1.82861698766309,"Fishpond"
2009,0.0103,0.0453119700598015,2.67294987142454,2.22119486261375,"Fishpond"
2010,0.009525,0.0445957663617976,2.22747454581248,1.83563801121648,"Fishpond"
2011,0.012261,0.0559129786778863,2.43701146821367,1.89876312008928,"Fishpond"
2012,0.008845,0.0402857754466317,2.05852327712433,1.75462502843637,"Fishpond"
2013,0.008034,0.0339399677633357,2.76110806316222,2.02114512435347,"Fishpond"
2014,0.010389,0.0423413758327424,3.38278872778045,2.67600114332995,"Fishpond"
2015,0.000256,0.000784765033742639,3.19031899391,3.067091558004,"Fishpond"
2016,0.008589,0.0351688502341901,3.33087296762021,2.67826422334605,"Fishpond"
2017,0.007937,0.0317215911287871,3.53700765366605,2.78398753696809,"Fishpond"
2018,0.006037,0.0240890103995994,2.70369235046652,2.21786247989562,"Fishpond"
2019,0.005388,0.0216214914295765,4.1951037824933,3.69549358005685,"Fishpond"
2020,0.007805,0.039057,2.73842956666942,2.38873692174789,"Fishpond"
1981,8.271,20.3828763731511,2.38816580669877,2.42586367629268,"Pelagic"
1982,10.436,20.5162176556247,3.66525944371285,3.67692413770374,"Pelagic"
1983,28.162,33.9927777777778,2.73028822949993,2.87661467727068,"Pelagic"
1984,29.084,36.8237326976649,2.35189575809182,2.54316937987386,"Pelagic"
1985,11.636,18.9397015853223,3.14259591083416,3.5129836669387,"Pelagic"
1986,5.374,14.6227231744035,3.25705918432946,3.26791909217477,"Pelagic"
1987,11.588,33.0470867969212,3.87017328778527,3.80822471022534,"Pelagic"
1988,12.739,45.8146258509742,3.49548129151001,3.33796397764219,"Pelagic"
1989,18.297,56.9969139549577,5.21145161420648,4.48425083102491,"Pelagic"
1990,20.958,88.7738001304385,5.24787479555849,4.55485604030283,"Pelagic"
1991,20.789,75.0988896084646,5.28096310728704,4.36721230410966,"Pelagic"
1992,23.508,100.394740932046,4.77539962599946,3.74799574399154,"Pelagic"
1993,30.519,98.5170486585769,5.21636368666132,4.51502565500982,"Pelagic"
1994,22.758,85.019793012759,6.12666582818888,4.82576649365212,"Pelagic"
1995,25.037,78.2127491254147,6.88211430840427,5.41051118052212,"Pelagic"
1996,27.478,83.1881255657501,6.94266528604767,5.25136620403285,"Pelagic"
1997,28.795,83.7277701450707,6.03546816611076,5.09779353682714,"Pelagic"
1998,28.707,72.1819091812354,5.46583028140784,4.27195281846021,"Pelagic"
1999,28.687527,72.818530187433,5.88142499297445,4.58150790942028,"Pelagic"
2000,25.028547,77.9928357007206,5.650549528508,4.29556619184672,"Pelagic"
2001,16.696254,58.1890106542703,4.86423645051391,3.5739957023818,"Pelagic"
2002,22.253092,66.6901217427376,6.90520468753384,4.7548176311998,"Pelagic"
2003,21.957785,65.9441407409456,8.41521012787186,5.19051148595657,"Pelagic"
2004,22.969015,71.1310205849604,7.59695816070688,5.38868575564582,"Pelagic"
2005,26.894022,86.7699762048721,7.85463019687356,5.37383372581597,"Pelagic"
2006,24.86311,79.4086378736932,7.99860423184521,5.43986934826628,"Pelagic"
2007,27.708167,87.9780546028627,6.75609489193943,4.79213711068901,"Pelagic"
2008,29.525515,97.264029306839,7.10914192295247,4.4424168740675,"Pelagic"
2009,25.686195,79.7027711502561,7.43899688846905,4.73974031546628,"Pelagic"
2010,26.737128,93.7620037951987,6.42812465047246,4.12048477888976,"Pelagic"
2011,28.227902,101.470762573242,7.07196609453329,4.56917504588016,"Pelagic"
2012,29.818814,122.138981490812,6.85100527817559,4.61205858959854,"Pelagic"
2013,31.166438,114.54109907298,6.46593236749605,4.07003073077791,"Pelagic"
2014,32.261208,105.16878344854,6.55817370548912,4.20172935407097,"Pelagic"
2015,34.34436,110.650433735389,5.85488766328196,3.5783165347134,"Pelagic"
2016,33.906666,121.61674275434,6.03188039285496,4.09384927739178,"Pelagic"
2017,36.034421,117.212727295631,5.98102231520618,4.30909157104677,"Pelagic"
2018,34.59071,118.328099133849,5.97961936916585,3.99154227803715,"Pelagic"
2019,33.785037,106.915995178219,6.04683666069247,4.02309366605387,"Pelagic"
2020,25.628541,78.632252,4.03445408642346,3.1592950659414,"Pelagic"
1981,13.396,45.0610231381368,4.82246967425788,5.59935310234964,"All Species"
1982,14.245,33.3860074337329,5.78807369081187,6.75672033387162,"All Species"
1983,28.829,39.8646625891947,3.09808580482915,4.45522935296292,"All Species"
1984,34.824,63.2080908854425,3.63925073658786,5.06710231926074,"All Species"
1985,16.987,45.8895487195474,6.7145066675926,8.73382301573721,"All Species"
1986,10.59,41.0187912820743,8.09130212846666,8.36386210285783,"All Species"
1987,15.566,54.4724751968072,6.87059036096561,7.98659293725139,"All Species"
1988,21.131,76.5387115097034,6.61849262527682,6.87278598425145,"All Species"
1989,24.397,87.282372314277,8.69045100821536,8.71983217597938,"All Species"
1990,26.582,116.092936627299,8.27022147683709,7.96948313841579,"All Species"
1991,27.662,99.679252137824,7.02872753093681,6.70354633556879,"All Species"
1992,27.893,118.602572612381,6.85368470372576,5.84803673130261,"All Species"
1993,34.582,113.978241118585,7.20288635835706,6.72168427621202,"All Species"
1994,27.09,100.884877321676,8.01506555727734,7.00829059586166,"All Species"
1995,29.892,94.6897496997692,8.79150457701795,7.7397472402034,"All Species"
1996,31.87,99.889766644333,8.87764777971851,7.66285800570288,"All Species"
1997,36.568,104.923958599229,7.63728478994328,7.35981588746106,"All Species"
1998,36.42603,93.7444967869498,7.18019734045092,6.65979551770004,"All Species"
1999,36.90684,96.1545499633837,7.67272989042941,7.09337198490558,"All Species"
2000,32.53133,99.6899396472347,7.21261514966568,6.16255628091211,"All Species"
2001,23.870471,77.7115238188814,6.28283742584224,5.50730961283763,"All Species"
2002,23.847956,73.1633260018822,9.10242065760264,6.86044311395956,"All Species"
2003,23.561942,72.1738416941917,10.9991801072409,7.40298174960457,"All Species"
2004,24.393499,76.914459628615,9.66933949950907,7.27757793798461,"All Species"
2005,28.146339,92.0139368521975,9.57336706177551,6.90774769332304,"All Species"
2006,26.027451,84.1665966216339,9.73225022244688,6.97725464087165,"All Species"
2007,28.938499,92.8875220133314,8.22045360556425,6.13988765054403,"All Species"
2008,30.657844,102.205652254389,8.50040757747778,5.64379584258241,"All Species"
2009,26.912368,85.2109732046905,9.13544186455142,6.34165178739883,"All Species"
2010,28.073224,99.3687370672566,8.01999740277136,5.42601447930071,"All Species"
2011,29.29255,106.045100598843,8.46030688120367,5.69853285855391,"All Species"
2012,31.052943,127.659569069666,8.30697281752481,5.75486943024162,"All Species"
2013,32.453284,120.65080588786,7.86302587120039,5.27303784462956,"All Species"
2014,33.478755,111.07028496614,7.85406577672721,5.45468697235879,"All Species"
2015,34.624935,112.259579783789,6.14431268740638,3.87186442048142,"All Species"
2016,35.055268,127.007438089056,7.10044941865765,5.0616425358441,"All Species"
2017,37.166095,122.788695787,6.97744280682654,5.36539983385604,"All Species"
2018,35.496725,122.740463989004,6.84055503224662,4.81832473595615,"All Species"
2019,34.684461,111.063070297769,6.92419504396376,4.88472669809006,"All Species"
2020,27.26403,83.854598,5.18921232314317,4.24949465144162,"All Species"
