"Year","Community","County","TotPopulation","PopDensity","PCTWaterCover","Pounds1000","Value1000","Dealers1000","CommPermits1000","RecFshTrps1000","nominal_revenue","Dollars1000"
2011,"Wahiawa","Honolulu County",37312,940.5926946,1.237263096,11540.41595,42718.8036,0.026801029,0.670025729,0,42718.8036,49452.0818805717
2011,"Waialua","Honolulu County",13097,119.110143,37.83336664,14543.7123,31159.57853,0,2.061540811,49.47697946,31159.57853,36070.9078666628
2011,"Waianae","Honolulu County",46875,769.0544743,52.11796231,14771.86133,51894.912,0.085333333,1.770666667,8.704,51894.912,60074.5156966209
2011,"Kalawao","Kalawao County",57,4.753373303,77.301461,NA,NA,NA,NA,0,NA,NA
2011,"Eleele-Kalaheo","Kauai County",7691,214.1256754,34.50305687,5265.76518,7081.133793,0.260044208,4.030685216,57.599791969,7081.133793,8197.25223153767
2011,"Hanalei","Kauai County",7905,64.29157358,43.84875612,11978.74763,23362.68185,0.506008855,5.060088552,10.120177104,23362.68185,27045.0751995299
2011,"Kapaa","Kauai County",8283,2309.585023,74.20054795,24438.12628,33761.55982,0.482916818,6.640106242,17.867922249,33761.55982,39083.0098208663
2011,"Kaumakani-Hanapepe","Kauai County",3940,32.50005409,19.12849336,11519.54315,33718.52792,0,3.807106599,2.284263959,33718.52792,39033.1952927676
2011,"Kekaha-Waimea","Kauai County",4993,55.30281028,55.60866815,31781.89465,57842.57961,0.400560785,5.407570599,14.019627475,57842.57961,66959.6463852562
2011,"Koloa-Poipu","Kauai County",5790,238.2135889,58.54414943,11456.30397,31787.91019,1.208981002,2.590673575,7.426597582,31787.91019,36798.2762871229
2011,"Lihue","Kauai County",6934,1127.472728,65.20957895,11751.08163,17610.18171,1.29795212,4.903374676,106.143640038,17610.18171,20385.8740054852
2011,"Niihau","Kauai County",NA,NA,79.54634983,NA,NA,NA,NA,NA,NA,NA
2011,"Puhi-Hanamaulu","Kauai County",8518,108.0872644,28.48907191,1715.191359,2529.819206,0.234796901,0.821789152,0.821789152,2529.819206,2928.56578310529
2011,"Wailua-Anahola","Kauai County",12252,177.2762842,36.17061741,2446.049625,3337.985635,0.081619327,0.897812602,1.958863859,3337.985635,3864.11427819557
2011,"East Molokai","Maui County",4741,38.59570597,58.79729883,7631.301413,22783.58996,0.42185193,3.79666737,42.185192995,22783.58996,26374.7076529852
2011,"Haiku-Pauwela","Maui County",9625,160.8133014,46.68021159,8144.311688,22371.32468,0.103896104,3.012987013,0.519480519,22371.32468,25897.4616941804
2011,"Hana","Maui County",2009,9.386333161,43.89765551,22653.06122,50220.00996,0.995520159,7.964161274,9.457441514,50220.00996,58135.6179316091
2011,"Kahului","Maui County",25221,4396.253885,14.01534018,2680.543991,5212.67991,0.317195987,1.625629436,2.894413385,5212.67991,6034.29525181111
2011,"Kihei","Maui County",23652,620.3175669,46.43822703,3278.496533,10426.85608,0.169118891,1.691188906,35.853204801,10426.85608,12070.3226020379
2011,"Kula","Maui County",11974,51.75705432,50.86545683,5560.965425,12059.0446,0,2.588942709,4.175714048,12059.0446,13959.7744015627
2011,"Lahaina","Maui County",20035,210.242997,54.7950054,9086.54854,11138.60744,0.299475917,2.146244073,72.073870727,11138.60744,12894.2592193388
2011,"Lanai","Maui County",3460,24.52741934,59.73002974,3010.982659,8586.127168,0.578034682,3.757225434,24.56647399,8586.127168,9939.46056459637
2011,"Makawao-Paia","Maui County",21082,486.9037433,22.22656541,14802.2958,55815.67214,0.09486766,2.41912532,0.474338298,55815.67214,64613.2605850044
2011,"Puunene","Maui County",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2011,"Spreckelsville","Maui County",309,15.64959738,54.8444406,4466.019417,8682.847896,3.236245955,3.236245955,35.5987055,8682.847896,10051.4262789312
2011,"Waihee-Waikapu","Maui County",5787,105.4596918,45.85101938,3373.077588,9712.113358,0.518403318,3.110419907,0,9712.113358,11242.9231284279
2011,"Wailuku","Maui County",22455,4034.940719,7.072851959,1797.238922,5174.838566,0.267201069,1.647739924,0,5174.838566,5990.48940791432
2011,"West Molokai","Maui County",2557,20.35401084,56.04185673,1357.059054,4796.636684,0.391083301,1.955416504,3.128666406,4796.636684,5552.67587242359
2012,"Hilo","Hawaii County",47339,158.7012562,8.412159065,11326.05251,28858.89013,0.168993853,2.703901646,4.034728237,28858.89013,32793.7145271408
2012,"Honokaa-Kukuihaele","Hawaii County",4559,39.52312112,37.75082238,3823.864883,5390.217153,0,3.728887914,0.219346348,5390.217153,6125.15733482851
2012,"Kau","Hawaii County",7203,7.707347096,21.89901179,25328.89074,60758.57282,0.416493128,4.026100236,2.08246564,60758.57282,69042.824694921
2012,"Keaau-Mountain View","Hawaii County",30105,129.7423826,14.50753567,11281.81365,25934.72845,0,2.026241488,0,25934.72845,29470.8520423691
2012,"North Hilo","Hawaii County",2269,7.130994031,13.39574959,9650.066108,16775.23138,0,2.644336712,1.322168356,16775.23138,19062.4846113046
2012,"North Kohala","Hawaii County",5934,42.0941062,46.52489493,6071.452646,9123.693967,0.337040782,3.370407819,0.674081564,9123.693967,10367.6826807613
2012,"North Kona","Hawaii County",42392,87.27945645,19.64258447,42612.00226,105805.6473,0.306661634,8.657293829,97.070201926,105805.6473,120231.934675429
2012,"Paauhau-Paauilo","Hawaii County",2787,6.004256388,8.606184635,16400.07176,75983.13599,0.358808755,3.588087549,0,75983.13599,86343.2120676977
2012,"Pahoa-Kalapana","Hawaii County",10003,37.33575878,29.47278253,23563.331,74352.49425,0,3.898830351,0.599820054,74352.49425,84490.2371446597
2012,"Papaikou-Wailea","Hawaii County",5488,56.53983056,29.71233579,687.8644315,2005.284257,0,1.275510204,0.364431487,2005.284257,2278.69884023941
2012,"South Kohala","Hawaii County",16925,49.27233503,12.7895229,8764.254062,17512.08272,0.295420975,3.781388479,4.490398818,17512.08272,19899.8034542694
2012,"South Kona","Hawaii County",10395,31.43518586,26.83413707,33831.74603,80437.80664,0.192400192,7.792207792,2.789802789,80437.80664,91405.2638981897
2012,"Ewa","Honolulu County",325039,1969.611017,31.72795342,4558.049957,18333.98454,0.036918647,0.766061919,0.769138473,18333.98454,20833.7691588756
2012,"Honolulu","Honolulu County",394430,4434.719986,92.44874387,38979.34488,164105.2151,0.058311995,0.82650914,4.715665645,164105.2151,186480.476281727
2012,"Koolauloa","Honolulu County",20111,292.9348491,60.3959217,6718.412809,20487.39496,0.049724032,1.491720949,0.646412411,20487.39496,23280.7907267577
2012,"Koolaupoko","Honolulu County",115897,1718.938345,64.66482589,17110.43426,71768.19072,0.017256702,1.380536166,2.398681587,71768.19072,81553.5714644296
2012,"Wahiawa","Honolulu County",40021,1008.752793,1.237107661,7964.693536,33068.36411,0.024986882,0.724619575,0,33068.36411,37577.137846184
2012,"Waialua","Honolulu County",12994,118.1755473,37.83406177,11955.90272,34219.25504,0,2.308757888,43.635524087,34219.25504,38884.9493538435
2012,"Waianae","Honolulu County",46723,766.5605365,52.11794289,17231.02112,68201.892,0.085610941,1.883440704,8.304261284,68201.892,77501.0184516368
2012,"Kalawao","Kalawao County",66,5.503905929,77.30145652,NA,NA,NA,NA,0,NA,NA
2012,"Eleele-Kalaheo","Kauai County",7737,215.4063646,34.50305502,5189.479126,13322.47641,0.129249063,3.877471888,52.733617677,13322.47641,15138.9567033258
2012,"Hanalei","Kauai County",7975,64.86089866,43.84871104,9845.893417,16716.23824,0.501567398,4.639498433,21.442006275,16716.23824,18995.4479309782
2012,"Kapaa","Kauai County",8097,2257.721345,74.20054382,28503.89033,59105.84167,0.494010127,6.669136717,20.871927876,59105.84167,67164.7485360991
2012,"Kaumakani-Hanapepe","Kauai County",3989,32.90424583,19.12849426,21444.4723,66030.33342,0,4.512409125,2.005515167,66030.33342,75033.3742757627
2012,"Kekaha-Waimea","Kauai County",5072,56.17782066,55.60865576,59093.65142,99806.9795,0.394321767,5.717665615,23.659305989,99806.9795,113415.366245729
2012,"Koloa-Poipu","Kauai County",5977,245.8826322,58.54001034,16796.55345,53254.30818,1.171156098,3.680776309,5.186548436,53254.30818,60515.3757448156
2012,"Lihue","Kauai County",7310,1188.610488,65.20957525,14874.829,25148.56361,0.957592339,4.651162791,97.127222977,25148.56361,28577.4959493905
2012,"Niihau","Kauai County",NA,NA,79.55297498,NA,NA,NA,NA,NA,NA,NA
2012,"Puhi-Hanamaulu","Kauai County",8916,113.137599,28.48904901,2308.882907,4163.414087,0.224315837,0.785105428,0.448631673,4163.414087,4731.08329573015
2012,"Wailua-Anahola","Kauai County",12040,174.2088219,36.17061016,2910.299003,5949.335548,0.083056478,0.996677741,1.079734219,5949.335548,6760.5098709069
2012,"East Molokai","Maui County",4284,34.87478747,58.79689443,8881.185808,28887.48833,0.700280112,6.069094304,41.31652661,28887.48833,32826.212007209
2012,"Haiku-Pauwela","Maui County",10510,175.5997723,46.68021689,14005.51855,48086.48906,0.095147479,2.568981922,2.093244529,48086.48906,54642.9397576462
2012,"Hana","Maui County",1923,8.984533589,43.89766771,41339.57358,111814.3526,0.520020801,7.280291212,11.96047842,111814.3526,127059.909188596
2012,"Kahului","Maui County",26072,4544.593514,14.01534667,4121.854863,11443.57932,0.268487266,1.764344891,3.183491869,11443.57932,13003.8775468588
2012,"Kihei","Maui County",24367,639.069768,46.4383961,3941.683424,12030.5331,0.164156441,1.641564411,25.895678585,12030.5331,13670.8607404341
2012,"Kula","Maui County",12876,55.6559095,50.86527789,9609.972041,24868.4374,0,2.329916123,1.242621932,24868.4374,28259.1753583724
2012,"Lahaina","Maui County",19717,206.9069095,54.79509068,9412.030228,16109.24583,0.304305929,1.977988538,83.582695133,16109.24583,18305.6938994124
2012,"Lanai","Maui County",3429,24.30766307,59.73013662,1781.860601,7255.468066,0.583260426,4.666083406,24.49693788,7255.468066,8244.72969838325
2012,"Makawao-Paia","Maui County",20112,464.5009053,22.22655894,16188.74304,67799.17462,0.149164678,2.73468576,0.198886237,67799.17462,77043.3917468208
2012,"Puunene","Maui County",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2012,"Spreckelsville","Maui County",266,13.47181958,54.84491,8244.360902,22890.97744,3.759398496,3.759398496,26.31578947,22890.97744,26012.0945758138
2012,"Waihee-Waikapu","Maui County",6384,116.3323893,45.84785071,3922.619048,11856.20301,0.469924812,2.662907268,0,11856.20301,13472.7612577722
2012,"Wailuku","Maui County",22472,4036.539751,7.039417496,2303.933784,6963.643645,0.22249911,1.601993592,0,6963.643645,7913.11587986105
2012,"West Molokai","Maui County",2525,20.09928764,56.0419088,1045.544554,2099.009901,0.396039604,1.188118812,1.188118812,2099.009901,2385.20369885881
2013,"Hilo","Hawaii County",46631,156.327728,8.412159105,11012.45952,29463.10394,0.171559692,2.509060496,4.053097725,29463.10394,32904.7975627315
2013,"Honokaa-Kukuihaele","Hawaii County",4507,39.0723204,37.75082261,3644.109164,2657.865542,0,3.771910362,0.22187708,2657.865542,2968.34059936692
2013,"Kau","Hawaii County",7532,8.059374987,21.89899403,21548.4599,59851.83218,0.398300584,4.248539565,2.522570366,59851.83218,66843.3450071003
2013,"Keaau-Mountain View","Hawaii County",31460,135.5707097,14.50650501,14384.5836,40549.5232,0,1.907183725,0.095359186,40549.5232,45286.262264779
2013,"North Hilo","Hawaii County",2201,6.917154341,13.39553178,8697.864607,23490.23171,0,2.726033621,0.454338937,23490.23171,26234.2121418455
2013,"North Kohala","Hawaii County",6579,46.6695524,46.52489486,6060.951512,8833.561332,0.303997568,3.7999696,0.303997568,8833.561332,9865.44214687492
2013,"North Kona","Hawaii County",40823,84.04895165,19.64255743,41472.84619,107274.943,0.342943929,8.867550156,93.648188525,107274.943,119806.123962938
2013,"Paauhau-Paauilo","Hawaii County",3019,6.504337503,8.606505118,8357.071878,14344.48493,0.331235508,3.974826101,0,14344.48493,16020.1170156583
2013,"Pahoa-Kalapana","Hawaii County",10262,38.30247353,29.4727872,21230.36445,73902.45566,0,3.508088092,0.68212824,73902.45566,82535.2735351019
2013,"Papaikou-Wailea","Hawaii County",5416,55.79805413,29.71233571,838.9955687,2264.032496,0,1.661742984,0.369276219,2264.032496,2528.50246559343
2013,"South Kohala","Hawaii County",17865,52.0068371,12.78908523,8051.665267,15655.30367,0.279876854,3.35852225,4.198152812,15655.30367,17484.0573177042
2013,"South Kona","Hawaii County",10749,32.50603606,26.83433649,26070.89032,64552.51651,0.18606382,7.907712345,2.511861568,64552.51651,72093.1335765579
2013,"Ewa","Honolulu County",329637,1997.4731,31.72795305,5608.084044,19792.73261,0.03943732,0.740208168,0.822116449,19792.73261,22104.7945617546
2013,"Honolulu","Honolulu County",394239,4432.49619,92.6855087,41191.48537,156655.3537,0.045657583,0.814226903,4.925945937,156655.3537,174954.842202433
2013,"Koolauloa","Honolulu County",20452,297.9018048,60.39592035,13364.46313,44172.45257,0.048894974,1.466849208,0.195579894,44172.45257,49332.399350223
2013,"Koolaupoko","Honolulu County",117512,1742.886234,64.66475859,16050.93097,55743.66022,0.025529308,1.284975151,2.331676765,55743.66022,62255.2823585765
2013,"Wahiawa","Honolulu County",43387,1093.594787,1.237107649,5883.997511,31888.3767,0.023048379,0.576209464,0,31888.3767,35613.3753610762
2013,"Waialua","Honolulu County",12639,115.0234127,37.84970209,10247.56705,25384.12849,0,2.294485323,41.69633674,25384.12849,28349.3419760109
2013,"Waianae","Honolulu County",46812,767.1161007,52.08853169,13656.47697,49861.10399,0.10681022,1.773049645,7.498077415,49861.10399,55685.5630820971
2013,"Kalawao","Kalawao County",71,5.920870978,77.30146403,NA,NA,NA,NA,0,NA,NA
2013,"Eleele-Kalaheo","Kauai County",8357,232.6678535,34.50305745,4195.165729,9461.050616,0.119660165,3.589804954,35.778389378,9461.050616,10566.2307638805
2013,"Hanalei","Kauai County",7593,61.75528524,43.8491908,31648.62373,115152.5089,0.658501251,4.741209008,16.594231529,115152.5089,128603.897332452
2013,"Kapaa","Kauai County",8461,2359.216777,74.20054176,26646.49569,56266.63515,0.354568018,6.618603002,20.564945041,56266.63515,62839.3479151817
2013,"Kaumakani-Hanapepe","Kauai County",4189,34.55399504,19.12849431,23397.46956,75834.08928,0,5.251850084,2.148484125,75834.08928,84692.5483884542
2013,"Kekaha-Waimea","Kauai County",5091,56.38826524,55.60865545,35867.02023,67962.28639,0.392850128,5.303476724,23.767432721,67962.28639,75901.2112273507
2013,"Koloa-Poipu","Kauai County",5922,243.6200387,58.54001072,14648.26072,48254.98143,1.182033097,4.559270517,4.728132388,48254.98143,53891.8234338454
2013,"Lihue","Kauai County",6605,1073.977258,65.20957952,13851.32475,28644.05753,1.211203634,5.147615443,103.860711579,28644.05753,31990.0753267303
2013,"Niihau","Kauai County",NA,NA,79.55297498,NA,NA,NA,NA,NA,NA,NA
2013,"Puhi-Hanamaulu","Kauai County",9175,116.4241264,28.48904981,1915.749319,4393.569482,0.217983651,0.762942779,0.871934605,4393.569482,4906.79850559577
2013,"Wailua-Anahola","Kauai County",12479,180.5607931,36.1706108,2839.570478,5896.385928,0.080134626,1.121884766,0.961615514,5896.385928,6585.16447240889
2013,"East Molokai","Maui County",4232,34.44961329,58.79558824,9692.816635,48763.9414,0.708884688,5.198487713,49.149338378,48763.9414,54460.2368913851
2013,"Haiku-Pauwela","Maui County",10488,175.2321979,46.68021673,9733.981693,33247.33028,0.095347063,2.669717773,1.14416476,33247.33028,37131.0733109633
2013,"Hana","Maui County",1884,8.80231961,43.89766679,31710.19108,97209.6603,0.530785563,9.554140127,6.369426752,97209.6603,108565.078541192
2013,"Kahului","Maui County",26328,4589.2164,14.01534586,3362.84564,9887.420237,0.341841386,1.595259799,5.925250684,9887.420237,11042.4061897444
2013,"Kihei","Maui County",24594,645.0232509,46.4383956,3227.860454,10155.7697,0.203301618,1.504431975,21.224688952,10155.7697,11342.1025412919
2013,"Kula","Maui County",12491,53.99176595,50.86527835,6281.802898,19755.10367,0,2.081498679,1.120806981,19755.10367,22062.7700467639
2013,"Lahaina","Maui County",20874,219.0482692,54.79509008,5171.361502,10235.31666,0.335345406,1.868352975,53.463638974,10235.31666,11430.941674496
2013,"Lanai","Maui County",3315,23.49953654,59.73013892,2102.865762,14450.67873,0.301659125,3.016591252,24.43438914,14450.67873,16138.7157043278
2013,"Makawao-Paia","Maui County",19821,457.7800498,22.22655824,17779.27451,77712.37576,0.151354624,3.077544019,0.050451541,77712.37576,86790.2444260162
2013,"Puunene","Maui County",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
2013,"Spreckelsville","Maui County",352,17.82736992,54.84490952,5133.522727,15093.75,2.840909091,2.840909091,105.1136364,15093.75,16856.9064964741
2013,"Waihee-Waikapu","Maui County",6810,124.0951718,45.84785089,3755.653451,12312.62849,0.440528634,2.202643172,0,12312.62849,13750.911945789
2013,"Wailuku","Maui County",22644,4067.43502,7.039417043,2335.188129,7655.714538,0.220809044,1.413177884,0,7655.714538,8550.0067333011
2013,"West Molokai","Maui County",2800,22.28831862,56.04190843,1416.071429,1156.428571,0.714285714,1.428571429,3.214285714,1156.428571,1291.5152491063
2014,"Hilo","Hawaii County",46618,156.2841464,8.412159115,10233.62221,32123.32146,0.171607534,2.53121112,3.668111029,32123.32146,35217.7734117154
2014,"Honokaa-Kukuihaele","Hawaii County",4500,39.01163563,37.75082261,3612.666667,4949.111111,0,2.444444444,0.222222222,4949.111111,5425.86089404345
2014,"Kau","Hawaii County",7669,8.205967442,21.89899403,25355.84822,75873.90794,0.130395097,5.215803886,2.73829704,75873.90794,83182.8707694373
2014,"Keaau-Mountain View","Hawaii County",34017,146.5896005,14.50650501,14728.78267,41956.05139,0,1.881412235,0,41956.05139,45997.6940100423
2014,"North Hilo","Hawaii County",1898,5.964906378,13.39553178,6672.286617,19418.33509,0,1.58061117,1.05374078,19418.33509,21288.9108022014
2014,"North Kohala","Hawaii County",6550,46.46383466,46.52489486,6717.40458,11041.0687,0.305343511,2.595419847,0.305343511,11041.0687,12104.6591083045
2014,"North Kona","Hawaii County",40480,83.34276175,19.64255743,36573.36957,80941.77372,0.419960474,8.102766798,105.533596852,80941.77372,88738.9260155695
2014,"Paauhau-Paauilo","Hawaii County",3220,6.937385478,8.606505118,6577.639752,13915.83851,0.310559006,3.416149068,0,13915.83851,15256.3566033935
2014,"Pahoa-Kalapana","Hawaii County",10365,38.6869166,29.4727872,26119.82634,90757.16353,0,4.052098408,0.964785335,90757.16353,99499.8361134458
2014,"Papaikou-Wailea","Hawaii County",5126,52.81034444,29.71233571,1360.710105,2611.587983,0,2.145922747,0.390167772,2611.587983,2863.16326113971
2014,"South Kohala","Hawaii County",18189,52.95003414,12.78908523,7564.571994,16438.89164,0.329869701,3.793501567,6.377480895,16438.89164,18022.4564149806
2014,"South Kona","Hawaii County",10750,32.50906016,26.83433649,24070.60465,55769.48837,0.186046512,7.627906977,2.325581395,55769.48837,61141.7847045371
