"Year","GEO_ID2","Community","County","PRIMARY_LATITUDE","PRIMARY_LONGITUDE","TotPopulation","PopDensity","PCTWaterCover","BoatLaunches1000","Pounds1000","Value1000","Dealers1000","CommPermits1000","RecFshTrps1000"
2010,1500991980,"Lahaina","Maui County",20.9145445,-156.6471756,20121,211.1454642,54.79500569,2,9452.909895,15333.73093,0.347895234,2.137070722,68.187465831
2010,1500992070,"Lanai","Maui County",20.8408648,-156.9281974,3335,23.64131166,59.73002769,1,3287.856072,5661.469265,0.59970015,5.397301349,23.08845577
2010,1500992250,"Makawao-Paia","Maui County",20.8782537,-156.342311,20729,478.7509835,22.22657281,0,15939.36032,50109.70138,0.144724782,2.315596507,0.482415939
2010,1500993060,"Puunene","Maui County",20.8626426,-156.4599141,NA,NA,0,0,NA,NA,NA,NA,NA
2010,1500993330,"Spreckelsville","Maui County",20.9087529,-156.4243906,280,14.18086854,54.84444889,0,4942.857143,11810.71429,3.571428571,3.571428571,17.85714286
2010,1500993690,"Waihee-Waikapu","Maui County",20.9497481,-156.5293984,5201,94.78070207,45.85102523,0,4483.560854,9168.621419,0.384541434,3.268602192,0
2010,1500993870,"Wailuku","Maui County",20.8912124,-156.5026548,21685,3896.579629,7.072852415,0,2223.241872,4546.414572,0.23057413,1.660133733,0
2010,1500993960,"West Molokai","Maui County",21.1629133,-157.1901883,2641,21.02265878,56.04185465,0,1283.226051,656.1908368,0.378644453,2.271866717,2.271866717
2011,1500190630,"Hilo","Hawaii County",19.6869881,-155.2335958,48840,163.7372882,8.412348495,0.02,10480.56921,26375.26618,0.143325143,2.334152334,5.364455364
2011,1500190720,"Honokaa-Kukuihaele","Hawaii County",20.1072972,-155.5725782,4710,40.83217699,37.75065202,0,4627.388535,7283.864119,0,3.397027601,1.061571125
2011,1500191170,"Kau","Hawaii County",19.2387695,-155.5469905,7020,7.511751473,21.89950946,0.288,15483.90313,30653.4188,0.284900285,3.988603989,3.703703703
2011,1500191350,"Keaau-Mountain View","Hawaii County",19.5586293,-155.0952535,28753,123.9116262,14.50711068,0,12344.93792,31968.10768,0.03477898,2.017180816,0.139115918
2011,1500192430,"North Hilo","Hawaii County",19.617504,-155.4204305,1982,6.228951927,13.39563766,0.527,5531.281534,10825.9334,0,1.513622603,0
2011,1500192520,"North Kohala","Hawaii County",20.176362,-155.8227292,5675,40.25676251,46.5245826,0,5654.096916,9615.682819,0.352422907,3.524229075,1.057268722
2011,1500192610,"North Kona","Hawaii County",19.6674725,-155.9154358,40184,82.73414589,19.64271344,0.155,39105.93769,65028.51881,0.373282899,8.983675095,106.086999804
2011,1500192700,"Paauhau-Paauilo","Hawaii County",19.809767,-155.5061027,2562,5.519528214,8.606080635,0,4964.480874,8240.046838,0.390320062,3.903200625,0
2011,1500192790,"Pahoa-Kalapana","Hawaii County",19.426842,-155.0895975,9958,37.16790035,29.47282493,0.104,23302.5708,61124.22173,0,3.816027315,3.313918457
2011,1500192880,"Papaikou-Wailea","Hawaii County",19.8307533,-155.1516688,5608,57.77610584,29.71227097,0,226.9971469,714.1583452,0,0.713266762,2.674750357
2011,1500193150,"South Kohala","Hawaii County",19.9375677,-155.7344009,17737,51.63629962,12.78952401,0.113,6091.503636,10216.10193,0.33827592,3.157241924,3.157241923
2011,1500193240,"South Kona","Hawaii County",19.3372717,-155.8376062,9968,30.14381232,26.83407757,0.209,21082.46388,47971.20787,0.200642055,7.724719101,1.80577849
2011,1500390270,"Ewa","Honolulu County",21.3689599,-158.020929,324250,1963.374219,31.68216551,0.003,5219.176561,18554.9946,0.040092521,0.746337702,0.724749422
2011,1500390810,"Honolulu","Honolulu County",27.7845986,-175.8600409,387918,4361.500115,92.4487458,0.016,37706.9226,136298.6069,0.051557288,0.793982233,4.232853334
2011,1500391710,"Koolauloa","Honolulu County",21.6375596,-157.9523098,19856,289.2309187,60.39734307,0.051,4817.888799,14497.88477,0,1.158340048,1.20870266
2011,1500391800,"Koolaupoko","Honolulu County",21.4369085,-157.7454893,114979,1705.311468,64.66481571,0.042,17763.78295,61397.28994,0.017394481,1.321980536,1.817723237
2011,1500393420,"Wahiawa","Honolulu County",21.5011916,-158.0264564,37312,940.5926946,1.237263096,0,11540.41595,42718.8036,0.026801029,0.670025729,0
2011,1500393510,"Waialua","Honolulu County",21.5812308,-158.1222568,13097,119.110143,37.83336664,0.23,14543.7123,31159.57853,0,2.061540811,49.47697946
2011,1500393600,"Waianae","Honolulu County",21.4613641,-158.2019756,46875,769.0544743,52.11796231,0.151,14771.86133,51894.912,0.085333333,1.770666667,8.704
2011,1500590990,"Kalawao","Kalawao County",21.2187644,-156.9740097,57,4.753373303,77.301461,0,NA,NA,NA,NA,0
2011,1500790180,"Eleele-Kalaheo","Kauai County",21.9171599,-159.5311099,7691,214.1256754,34.50305687,0.119,5265.76518,7081.133793,0.260044208,4.030685216,57.599791969
2011,1500790540,"Hanalei","Kauai County",22.199737,-159.4970614,7905,64.29157358,43.84875612,0.281,11978.74763,23362.68185,0.506008855,5.060088552,10.120177104
2011,1500791080,"Kapaa","Kauai County",22.0904889,-159.3064559,8283,2309.585023,74.20054795,0.124,24438.12628,33761.55982,0.482916818,6.640106242,17.867922249
2011,1500791260,"Kaumakani-Hanapepe","Kauai County",22.0053299,-159.5992211,3940,32.50005409,19.12849336,0.26,11519.54315,33718.52792,0,3.807106599,2.284263959
2011,1500791440,"Kekaha-Waimea","Kauai County",22.0723781,-159.7347792,4993,55.30281028,55.60866815,0.214,31781.89465,57842.57961,0.400560785,5.407570599,14.019627475
2011,1500791620,"Koloa-Poipu","Kauai County",21.8805412,-159.4452894,5790,238.2135889,58.54414943,0.35,11456.30397,31787.91019,1.208981002,2.590673575,7.426597582
2011,1500792160,"Lihue","Kauai County",21.9654253,-159.3325817,6934,1127.472728,65.20957895,0.153,11751.08163,17610.18171,1.29795212,4.903374676,106.143640038
2011,1500792340,"Niihau","Kauai County",21.8660331,-160.2320721,NA,NA,79.54634983,0,NA,NA,NA,NA,NA
2011,1500792970,"Puhi-Hanamaulu","Kauai County",21.983507,-159.3861793,8518,108.0872644,28.48907191,0.234,1715.191359,2529.819206,0.234796901,0.821789152,0.821789152
2011,1500793780,"Wailua-Anahola","Kauai County",22.1270048,-159.3440621,12252,177.2762842,36.17061741,0.08,2446.049625,3337.985635,0.081619327,0.897812602,1.958863859
2011,1500990090,"East Molokai","Maui County",21.1312401,-156.8365077,4741,38.59570597,58.79729883,0.204,7631.301413,22783.58996,0.42185193,3.79666737,42.185192995
2011,1500990360,"Haiku-Pauwela","Maui County",20.919112,-156.2595519,9625,160.8133014,46.68021159,0.105,8144.311688,22371.32468,0.103896104,3.012987013,0.519480519
2011,1500990450,"Hana","Maui County",20.7109582,-156.0964687,2009,9.386333161,43.89765551,0.851,22653.06122,50220.00996,0.995520159,7.964161274,9.457441514
2011,1500990900,"Kahului","Maui County",20.878197,-156.4793696,25221,4396.253885,14.01534018,0.04,2680.543991,5212.67991,0.317195987,1.625629436,2.894413385
2011,1500991530,"Kihei","Maui County",20.784995,-156.4668463,23652,620.3175669,46.43822703,0.173,3278.496533,10426.85608,0.169118891,1.691188906,35.853204801
2011,1500991890,"Kula","Maui County",20.600356,-156.42133,11974,51.75705432,50.86545683,0,5560.965425,12059.0446,0,2.588942709,4.175714048
2011,1500991980,"Lahaina","Maui County",20.9145445,-156.6471756,20035,210.242997,54.7950054,0.099,9086.54854,11138.60744,0.299475917,2.146244073,72.073870727
2011,1500992070,"Lanai","Maui County",20.8408648,-156.9281974,3460,24.52741934,59.73002974,0.3,3010.982659,8586.127168,0.578034682,3.757225434,24.56647399
2011,1500992250,"Makawao-Paia","Maui County",20.8782537,-156.342311,21082,486.9037433,22.22656541,0,14802.2958,55815.67214,0.09486766,2.41912532,0.474338298
2011,1500993060,"Puunene","Maui County",20.8626426,-156.4599141,NA,NA,0,NA,NA,NA,NA,NA,NA
2011,1500993330,"Spreckelsville","Maui County",20.9087529,-156.4243906,309,15.64959738,54.8444406,0,4466.019417,8682.847896,3.236245955,3.236245955,35.5987055
2011,1500993690,"Waihee-Waikapu","Maui County",20.9497481,-156.5293984,5787,105.4596918,45.85101938,0,3373.077588,9712.113358,0.518403318,3.110419907,0
2011,1500993870,"Wailuku","Maui County",20.8912124,-156.5026548,22455,4034.940719,7.072851959,0,1797.238922,5174.838566,0.267201069,1.647739924,0
2011,1500993960,"West Molokai","Maui County",21.1629133,-157.1901883,2557,20.35401084,56.04185673,0,1357.059054,4796.636684,0.391083301,1.955416504,3.128666406
2012,1500190630,"Hilo","Hawaii County",19.6869881,-155.2335958,47339,158.7012562,8.412159065,1,11326.05251,28858.89013,0.168993853,2.703901646,4.034728237
2012,1500190720,"Honokaa-Kukuihaele","Hawaii County",20.1072972,-155.5725782,4559,39.52312112,37.75082238,0,3823.864883,5390.217153,0,3.728887914,0.219346348
2012,1500191170,"Kau","Hawaii County",19.2387695,-155.5469905,7203,7.707347096,21.89901179,2,25328.89074,60758.57282,0.416493128,4.026100236,2.08246564
2012,1500191350,"Keaau-Mountain View","Hawaii County",19.5585499,-155.0949534,30105,129.7423826,14.50753567,0,11281.81365,25934.72845,0,2.026241488,0
2012,1500192430,"North Hilo","Hawaii County",19.617504,-155.4204305,2269,7.130994031,13.39574959,1,9650.066108,16775.23138,0,2.644336712,1.322168356
2012,1500192520,"North Kohala","Hawaii County",20.176362,-155.8227292,5934,42.0941062,46.52489493,0,6071.452646,9123.693967,0.337040782,3.370407819,0.674081564
2012,1500192610,"North Kona","Hawaii County",19.6674725,-155.9154359,42392,87.27945645,19.64258447,6,42612.00226,105805.6473,0.306661634,8.657293829,97.070201926
2012,1500192700,"Paauhau-Paauilo","Hawaii County",19.809767,-155.5061027,2787,6.004256388,8.606184635,0,16400.07176,75983.13599,0.358808755,3.588087549,0
2012,1500192790,"Pahoa-Kalapana","Hawaii County",19.426842,-155.0895975,10003,37.33575878,29.47278253,1,23563.331,74352.49425,0,3.898830351,0.599820054
2012,1500192880,"Papaikou-Wailea","Hawaii County",19.8307533,-155.1516688,5488,56.53983056,29.71233579,0,687.8644315,2005.284257,0,1.275510204,0.364431487
2012,1500193150,"South Kohala","Hawaii County",19.9375677,-155.7344009,16925,49.27233503,12.7895229,2,8764.254062,17512.08272,0.295420975,3.781388479,4.490398818
2012,1500193240,"South Kona","Hawaii County",19.3372713,-155.8376054,10395,31.43518586,26.83413707,2,33831.74603,80437.80664,0.192400192,7.792207792,2.789802789
2012,1500390270,"Ewa","Honolulu County",21.3689599,-158.020929,325039,1969.611017,31.72795342,1,4558.049957,18333.98454,0.036918647,0.766061919,0.769138473
2012,1500390810,"Honolulu","Honolulu County",27.7845986,-175.8600409,394430,4434.719986,92.44874387,6,38979.34488,164105.2151,0.058311995,0.82650914,4.715665645
2012,1500391710,"Koolauloa","Honolulu County",21.6375596,-157.9523098,20111,292.9348491,60.3959217,1,6718.412809,20487.39496,0.049724032,1.491720949,0.646412411
2012,1500391800,"Koolaupoko","Honolulu County",21.4369085,-157.7454633,115897,1718.938345,64.66482589,5,17110.43426,71768.19072,0.017256702,1.380536166,2.398681587
2012,1500393420,"Wahiawa","Honolulu County",21.5011889,-158.0264599,40021,1008.752793,1.237107661,0,7964.693536,33068.36411,0.024986882,0.724619575,0
2012,1500393510,"Waialua","Honolulu County",21.5812308,-158.1222568,12994,118.1755473,37.83406177,3,11955.90272,34219.25504,0,2.308757888,43.635524087
2012,1500393600,"Waianae","Honolulu County",21.4613654,-158.201974,46723,766.5605365,52.11794289,7,17231.02112,68201.892,0.085610941,1.883440704,8.304261284
2012,1500590990,"Kalawao","Kalawao County",21.2187644,-156.9740097,66,5.503905929,77.30145652,0,NA,NA,NA,NA,0
2012,1500790180,"Eleele-Kalaheo","Kauai County",21.9171599,-159.5311099,7737,215.4063646,34.50305502,1,5189.479126,13322.47641,0.129249063,3.877471888,52.733617677
2012,1500790540,"Hanalei","Kauai County",22.199737,-159.4970614,7975,64.86089866,43.84871104,2,9845.893417,16716.23824,0.501567398,4.639498433,21.442006275
2012,1500791080,"Kapaa","Kauai County",22.0904889,-159.3064559,8097,2257.721345,74.20054382,1,28503.89033,59105.84167,0.494010127,6.669136717,20.871927876
2012,1500791260,"Kaumakani-Hanapepe","Kauai County",22.0053299,-159.5992211,3989,32.90424583,19.12849426,1,21444.4723,66030.33342,0,4.512409125,2.005515167
2012,1500791440,"Kekaha-Waimea","Kauai County",22.0723781,-159.7347792,5072,56.17782066,55.60865576,1,59093.65142,99806.9795,0.394321767,5.717665615,23.659305989
2012,1500791620,"Koloa-Poipu","Kauai County",21.8805412,-159.4452894,5977,245.8826322,58.54001034,2,16796.55345,53254.30818,1.171156098,3.680776309,5.186548436
2012,1500792160,"Lihue","Kauai County",21.9654253,-159.3325817,7310,1188.610488,65.20957525,1,14874.829,25148.56361,0.957592339,4.651162791,97.127222977
2012,1500792340,"Niihau","Kauai County",21.8660331,-160.2320721,NA,NA,79.55297498,0,NA,NA,NA,NA,NA
2012,1500792970,"Puhi-Hanamaulu","Kauai County",21.983507,-159.3861793,8916,113.137599,28.48904901,2,2308.882907,4163.414087,0.224315837,0.785105428,0.448631673
2012,1500793780,"Wailua-Anahola","Kauai County",22.1270048,-159.3440621,12040,174.2088219,36.17061016,1,2910.299003,5949.335548,0.083056478,0.996677741,1.079734219
2012,1500990090,"East Molokai","Maui County",21.1312401,-156.8365077,4284,34.87478747,58.79689443,1,8881.185808,28887.48833,0.700280112,6.069094304,41.31652661
2012,1500990360,"Haiku-Pauwela","Maui County",20.919112,-156.2595519,10510,175.5997723,46.68021689,1,14005.51855,48086.48906,0.095147479,2.568981922,2.093244529
2012,1500990450,"Hana","Maui County",20.7109582,-156.0964687,1923,8.984533589,43.89766771,2,41339.57358,111814.3526,0.520020801,7.280291212,11.96047842
2012,1500990900,"Kahului","Maui County",20.878197,-156.4793696,26072,4544.593514,14.01534667,1,4121.854863,11443.57932,0.268487266,1.764344891,3.183491869
2012,1500991530,"Kihei","Maui County",20.784995,-156.4668463,24367,639.069768,46.4383961,4,3941.683424,12030.5331,0.164156441,1.641564411,25.895678585
2012,1500991890,"Kula","Maui County",20.600356,-156.42133,12876,55.6559095,50.86527789,0,9609.972041,24868.4374,0,2.329916123,1.242621932
2012,1500991980,"Lahaina","Maui County",20.9145445,-156.6471756,19717,206.9069095,54.79509068,2,9412.030228,16109.24583,0.304305929,1.977988538,83.582695133
2012,1500992070,"Lanai","Maui County",20.8408648,-156.9281974,3429,24.30766307,59.73013662,1,1781.860601,7255.468066,0.583260426,4.666083406,24.49693788
2012,1500992250,"Makawao-Paia","Maui County",20.8782537,-156.342311,20112,464.5009053,22.22655894,0,16188.74304,67799.17462,0.149164678,2.73468576,0.198886237
2012,1500993060,"Puunene","Maui County",20.8626426,-156.4599141,NA,NA,0,0,NA,NA,NA,NA,NA
2012,1500993330,"Spreckelsville","Maui County",20.9087529,-156.4243906,266,13.47181958,54.84491,0,8244.360902,22890.97744,3.759398496,3.759398496,26.31578947
2012,1500993690,"Waihee-Waikapu","Maui County",20.9497481,-156.5293984,6384,116.3323893,45.84785071,0,3922.619048,11856.20301,0.469924812,2.662907268,0
2012,1500993870,"Wailuku","Maui County",20.8912124,-156.5026548,22472,4036.539751,7.039417496,0,2303.933784,6963.643645,0.22249911,1.601993592,0
2012,1500993960,"West Molokai","Maui County",21.1629133,-157.1901883,2525,20.09928764,56.0419088,0,1045.544554,2099.009901,0.396039604,1.188118812,1.188118812
2013,1500190630,"Hilo","Hawaii County",19.6869881,-155.2335958,46631,156.327728,8.412159105,1,11012.45952,29463.10394,0.171559692,2.509060496,4.053097725
2013,1500190720,"Honokaa-Kukuihaele","Hawaii County",20.1072972,-155.5725782,4507,39.0723204,37.75082261,0,3644.109164,2657.865542,0,3.771910362,0.22187708
2013,1500191170,"Kau","Hawaii County",19.2356053,-155.5438316,7532,8.059374987,21.89899403,2,21548.4599,59851.83218,0.398300584,4.248539565,2.522570366
2013,1500191350,"Keaau-Mountain View","Hawaii County",19.5585499,-155.0949534,31460,135.5707097,14.50650501,0,14384.5836,40549.5232,0,1.907183725,0.095359186
2013,1500192430,"North Hilo","Hawaii County",19.617504,-155.4204305,2201,6.917154341,13.39553178,1,8697.864607,23490.23171,0,2.726033621,0.454338937
2013,1500192520,"North Kohala","Hawaii County",20.176362,-155.8227292,6579,46.6695524,46.52489486,0,6060.951512,8833.561332,0.303997568,3.7999696,0.303997568
2013,1500192610,"North Kona","Hawaii County",19.6685679,-155.9187231,40823,84.04895165,19.64255743,6,41472.84619,107274.943,0.342943929,8.867550156,93.648188525
2013,1500192700,"Paauhau-Paauilo","Hawaii County",19.8281713,-155.4950401,3019,6.504337503,8.606505118,0,8357.071878,14344.48493,0.331235508,3.974826101,0
2013,1500192790,"Pahoa-Kalapana","Hawaii County",19.427903,-155.0891095,10262,38.30247353,29.4727872,1,21230.36445,73902.45566,0,3.508088092,0.68212824
2013,1500192880,"Papaikou-Wailea","Hawaii County",19.8307533,-155.1516688,5416,55.79805413,29.71233571,0,838.9955687,2264.032496,0,1.661742984,0.369276219
2013,1500193150,"South Kohala","Hawaii County",19.936748,-155.7519126,17865,52.0068371,12.78908523,2,8051.665267,15655.30367,0.279876854,3.35852225,4.198152812
2013,1500193240,"South Kona","Hawaii County",19.3372688,-155.8376215,10749,32.50603606,26.83433649,2,26070.89032,64552.51651,0.18606382,7.907712345,2.511861568
2013,1500390270,"Ewa","Honolulu County",21.3682481,-158.0214964,329637,1997.4731,31.72795305,1,5608.084044,19792.73261,0.03943732,0.740208168,0.822116449
2013,1500390810,"Honolulu","Honolulu County",27.7845986,-175.8600409,394239,4432.49619,92.6855087,6,41191.48537,156655.3537,0.045657583,0.814226903,4.925945937
2013,1500391710,"Koolauloa","Honolulu County",21.638898,-157.9509804,20452,297.9018048,60.39592035,1,13364.46313,44172.45257,0.048894974,1.466849208,0.195579894
2013,1500391800,"Koolaupoko","Honolulu County",21.4369085,-157.7454633,117512,1742.886234,64.66475859,5,16050.93097,55743.66022,0.025529308,1.284975151,2.331676765
2013,1500393420,"Wahiawa","Honolulu County",21.5011889,-158.0264599,43387,1093.594787,1.237107649,0,5883.997511,31888.3767,0.023048379,0.576209464,0
2013,1500393510,"Waialua","Honolulu County",21.5800225,-158.1234063,12639,115.0234127,37.84970209,3,10247.56705,25384.12849,0,2.294485323,41.69633674
2013,1500393600,"Waianae","Honolulu County",21.4613654,-158.201974,46812,767.1161007,52.08853169,7,13656.47697,49861.10399,0.10681022,1.773049645,7.498077415
2013,1500590990,"Kalawao","Kalawao County",21.2187644,-156.9740097,71,5.920870978,77.30146403,0,NA,NA,NA,NA,0
2013,1500790180,"Eleele-Kalaheo","Kauai County",21.9153614,-159.5286533,8357,232.6678535,34.50305745,1,4195.165729,9461.050616,0.119660165,3.589804954,35.778389378
2013,1500790540,"Hanalei","Kauai County",22.1999113,-159.4985796,7593,61.75528524,43.8491908,2,31648.62373,115152.5089,0.658501251,4.741209008,16.594231529
2013,1500791080,"Kapaa","Kauai County",22.0904889,-159.3064559,8461,2359.216777,74.20054176,1,26646.49569,56266.63515,0.354568018,6.618603002,20.564945041
2013,1500791260,"Kaumakani-Hanapepe","Kauai County",22.0053299,-159.5992211,4189,34.55399504,19.12849431,1,23397.46956,75834.08928,0,5.251850084,2.148484125
2013,1500791440,"Kekaha-Waimea","Kauai County",22.0723781,-159.7347792,5091,56.38826524,55.60865545,1,35867.02023,67962.28639,0.392850128,5.303476724,23.767432721
2013,1500791620,"Koloa-Poipu","Kauai County",21.8805412,-159.4452894,5922,243.6200387,58.54001072,2,14648.26072,48254.98143,1.182033097,4.559270517,4.728132388
2013,1500792160,"Lihue","Kauai County",21.9654253,-159.3325817,6605,1073.977258,65.20957952,1,13851.32475,28644.05753,1.211203634,5.147615443,103.860711579
2013,1500792340,"Niihau","Kauai County",21.8660331,-160.2320721,NA,NA,79.55297498,0,NA,NA,NA,NA,NA
2013,1500792970,"Puhi-Hanamaulu","Kauai County",21.9919132,-159.3989062,9175,116.4241264,28.48904981,2,1915.749319,4393.569482,0.217983651,0.762942779,0.871934605
2013,1500793780,"Wailua-Anahola","Kauai County",22.1270048,-159.3440621,12479,180.5607931,36.1706108,1,2839.570478,5896.385928,0.080134626,1.121884766,0.961615514
2013,1500990090,"East Molokai","Maui County",21.1311732,-156.8352374,4232,34.44961329,58.79558824,1,9692.816635,48763.9414,0.708884688,5.198487713,49.149338378
2013,1500990360,"Haiku-Pauwela","Maui County",20.919112,-156.2595519,10488,175.2321979,46.68021673,1,9733.981693,33247.33028,0.095347063,2.669717773,1.14416476
2013,1500990450,"Hana","Maui County",20.7320209,-156.1014766,1884,8.80231961,43.89766679,2,31710.19108,97209.6603,0.530785563,9.554140127,6.369426752
2013,1500990900,"Kahului","Maui County",20.878197,-156.4793696,26328,4589.2164,14.01534586,1,3362.84564,9887.420237,0.341841386,1.595259799,5.925250684
2013,1500991530,"Kihei","Maui County",20.7831105,-156.4650291,24594,645.0232509,46.4383956,4,3227.860454,10155.7697,0.203301618,1.504431975,21.224688952
2013,1500991890,"Kula","Maui County",20.600356,-156.42133,12491,53.99176595,50.86527835,0,6281.802898,19755.10367,0,2.081498679,1.120806981
2013,1500991980,"Lahaina","Maui County",20.9145445,-156.6471756,20874,219.0482692,54.79509008,2,5171.361502,10235.31666,0.335345406,1.868352975,53.463638974
2013,1500992070,"Lanai","Maui County",20.8408648,-156.9281974,3315,23.49953654,59.73013892,1,2102.865762,14450.67873,0.301659125,3.016591252,24.43438914
2013,1500992250,"Makawao-Paia","Maui County",20.8766882,-156.3408796,19821,457.7800498,22.22655824,0,17779.27451,77712.37576,0.151354624,3.077544019,0.050451541
