Variable,Hawaii data,category_text,category_numeric,date,data source(s),units
liv_res_GDP_05,"$68,572,497.27 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/05,11,Year 2017 US Dollars
liv_res_GDP_06,"$69,149,955.14 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/06,11,Year 2017 US Dollars
liv_res_GDP_07,"$68,321,001.88 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/07,11,Year 2017 US Dollars
liv_res_GDP_08,"$60,329,977.32 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/08,11,Year 2017 US Dollars
liv_res_GDP_09,"$58,699,650.84 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/09,11,Year 2017 US Dollars
liv_res_GDP_10,"$67,970,254.35 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/10,11,Year 2017 US Dollars
liv_res_GDP_11,"$70,284,249.90 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/11,11,Year 2017 US Dollars
liv_res_GDP_12,"$72,940,463.60 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/12,11,Year 2017 US Dollars
liv_res_GDP_13,"$74,685,736.80 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/13,11,Year 2017 US Dollars
liv_res_GDP_14,"$70,978,308.80 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/14,11,Year 2017 US Dollars
liv_res_GDP_15,"$88,833,635.52 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/15,11,Year 2017 US Dollars
liv_res_emp_05,"2,090",Economic impact of coral reef fishing to jurisdiction,6,1/1/05,11,number of people
liv_res_emp_06,"2,001",Economic impact of coral reef fishing to jurisdiction,6,1/1/06,11,number of people
liv_res_emp_07,"2,033",Economic impact of coral reef fishing to jurisdiction,6,1/1/07,11,number of people
liv_res_emp_08,"1,974",Economic impact of coral reef fishing to jurisdiction,6,1/1/08,11,number of people
liv_res_emp_09,"1,908",Economic impact of coral reef fishing to jurisdiction,6,1/1/09,11,number of people
liv_res_emp_10,"1,931",Economic impact of coral reef fishing to jurisdiction,6,1/1/10,11,number of people
liv_res_emp_11,"2,040",Economic impact of coral reef fishing to jurisdiction,6,1/1/11,11,number of people
liv_res_emp_12,"2,135",Economic impact of coral reef fishing to jurisdiction,6,1/1/12,11,number of people
liv_res_emp_13,"2,129",Economic impact of coral reef fishing to jurisdiction,6,1/1/13,11,number of people
liv_res_emp_14,"2,159",Economic impact of coral reef fishing to jurisdiction,6,1/1/14,11,number of people
liv_res_emp_15,"2,219",Economic impact of coral reef fishing to jurisdiction,6,1/1/15,11,number of people
liv_res_estbl_05,160,Economic impact of coral reef fishing to jurisdiction,6,1/1/05,11,number of businesses
liv_res_estbl_06,149,Economic impact of coral reef fishing to jurisdiction,6,1/1/06,11,number of businesses
liv_res_estbl_07,151,Economic impact of coral reef fishing to jurisdiction,6,1/1/07,11,number of businesses
liv_res_estbl_08,153,Economic impact of coral reef fishing to jurisdiction,6,1/1/08,11,number of businesses
liv_res_estbl_09,150,Economic impact of coral reef fishing to jurisdiction,6,1/1/09,11,number of businesses
liv_res_estbl_10,147,Economic impact of coral reef fishing to jurisdiction,6,1/1/10,11,number of businesses
liv_res_estbl_11,139,Economic impact of coral reef fishing to jurisdiction,6,1/1/11,11,number of businesses
liv_res_estbl_12,131,Economic impact of coral reef fishing to jurisdiction,6,1/1/12,11,number of businesses
liv_res_estbl_13,122,Economic impact of coral reef fishing to jurisdiction,6,1/1/13,11,number of businesses
liv_res_estbl_14,123,Economic impact of coral reef fishing to jurisdiction,6,1/1/14,11,number of businesses
liv_res_estbl_15,123,Economic impact of coral reef fishing to jurisdiction,6,1/1/15,11,number of businesses
liv_res_GDP_prop_05,0.09%,Economic impact of coral reef fishing to jurisdiction,6,1/1/05,11;12;3,Percent
liv_res_GDP_prop_06,0.09%,Economic impact of coral reef fishing to jurisdiction,6,1/1/06,11;12;3,Percent
liv_res_GDP_prop_07,0.09%,Economic impact of coral reef fishing to jurisdiction,6,1/1/07,11;12;3,Percent
liv_res_GDP_prop_08,0.08%,Economic impact of coral reef fishing to jurisdiction,6,1/1/08,11;12;3,Percent
liv_res_GDP_prop_09,0.08%,Economic impact of coral reef fishing to jurisdiction,6,1/1/09,11;12;3,Percent
liv_res_GDP_prop_10,0.09%,Economic impact of coral reef fishing to jurisdiction,6,1/1/10,11;12;3,Percent
liv_res_GDP_prop_11,0.09%,Economic impact of coral reef fishing to jurisdiction,6,1/1/11,11;12;3,Percent
liv_res_GDP_prop_12,0.09%,Economic impact of coral reef fishing to jurisdiction,6,1/1/12,11;12;3,Percent
liv_res_GDP_prop_13,0.09%,Economic impact of coral reef fishing to jurisdiction,6,1/1/13,11;12;3,Percent
liv_res_GDP_prop_14,0.09%,Economic impact of coral reef fishing to jurisdiction,6,1/1/14,11;12;3,Percent
liv_res_GDP_prop_15,0.11%,Economic impact of coral reef fishing to jurisdiction,6,1/1/15,11;12;3,Percent
liv_res_emp_prop_05,0.30%,Economic impact of coral reef fishing to jurisdiction,6,1/1/05,11;13;14;20,Percent
liv_res_emp_prop_06,0.28%,Economic impact of coral reef fishing to jurisdiction,6,1/1/06,11;13;14;20,Percent
liv_res_emp_prop_07,0.28%,Economic impact of coral reef fishing to jurisdiction,6,1/1/07,11;13;14;20,Percent
liv_res_emp_prop_08,0.28%,Economic impact of coral reef fishing to jurisdiction,6,1/1/08,11;13;14;20,Percent
liv_res_emp_prop_09,0.28%,Economic impact of coral reef fishing to jurisdiction,6,1/1/09,11;13;14;20,Percent
liv_res_emp_prop_10,0.28%,Economic impact of coral reef fishing to jurisdiction,6,1/1/10,11;13;14;20,Percent
liv_res_emp_prop_11,0.30%,Economic impact of coral reef fishing to jurisdiction,6,1/1/11,11;13;14;20,Percent
liv_res_emp_prop_12,0.30%,Economic impact of coral reef fishing to jurisdiction,6,1/1/12,11;13;14;20,Percent
liv_res_emp_prop_13,0.30%,Economic impact of coral reef fishing to jurisdiction,6,1/1/13,11;13;14;20,Percent
liv_res_emp_prop_14,0.30%,Economic impact of coral reef fishing to jurisdiction,6,1/1/14,11;13;14;20,Percent
liv_res_emp_prop_15,0.30%,Economic impact of coral reef fishing to jurisdiction,6,1/1/15,11;13;14;20,Percent
liv_res_estbl_prop_05,0.44%,Economic impact of coral reef fishing to jurisdiction,6,1/1/05,11;13;17;20,Percent
liv_res_estbl_prop_06,0.41%,Economic impact of coral reef fishing to jurisdiction,6,1/1/06,11;13;17;20,Percent
liv_res_estbl_prop_07,0.40%,Economic impact of coral reef fishing to jurisdiction,6,1/1/07,11;13;17;20,Percent
liv_res_estbl_prop_08,0.40%,Economic impact of coral reef fishing to jurisdiction,6,1/1/08,11;13;17;20,Percent
liv_res_estbl_prop_09,0.39%,Economic impact of coral reef fishing to jurisdiction,6,1/1/09,11;13;17;20,Percent
liv_res_estbl_prop_10,0.39%,Economic impact of coral reef fishing to jurisdiction,6,1/1/10,11;13;17;20,Percent
liv_res_estbl_prop_11,0.37%,Economic impact of coral reef fishing to jurisdiction,6,1/1/11,11;13;17;20,Percent
liv_res_estbl_prop_12,0.35%,Economic impact of coral reef fishing to jurisdiction,6,1/1/12,11;13;17;20,Percent
liv_res_estbl_prop_13,0.32%,Economic impact of coral reef fishing to jurisdiction,6,1/1/13,11;13;17;20,Percent
liv_res_estbl_prop_14,0.32%,Economic impact of coral reef fishing to jurisdiction,6,1/1/14,11;13;17;20,Percent
liv_res_estbl_prop_15,0.31%,Economic impact of coral reef fishing to jurisdiction,6,1/1/15,11;13;17;20,Percent
comm_license_rev_05,"$251,838.74 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/05,9;15,Year 2017 US Dollars
comm_license_rev_06,"$257,866.59 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/06,9;15,Year 2017 US Dollars
comm_license_rev_07,"$250,593.99 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/07,9;15,Year 2017 US Dollars
comm_license_rev_08,"$247,014.70 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/08,9;15,Year 2017 US Dollars
comm_license_rev_09,"$231,169.43 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/09,9;15,Year 2017 US Dollars
comm_license_rev_10,"$286,012.61 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/10,9;15,Year 2017 US Dollars
comm_license_rev_11,"$285,168.08 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/11,9;15,Year 2017 US Dollars
comm_license_rev_12,"$302,416.32 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/12,9;15,Year 2017 US Dollars
comm_license_rev_13,"$298,632.62 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/13,9;15,Year 2017 US Dollars
comm_license_rev_14,"$287,361.57 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/14,9;15,Year 2017 US Dollars
comm_license_rev_15,"$284,783.94 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/15,9;15,Year 2017 US Dollars
comm_license_rev_16,"$187,394.51 ",Economic impact of coral reef fishing to jurisdiction,6,1/1/16,9;15,Year 2017 US Dollars
rec_license_rev_05,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/05,9,Year 2017 US Dollars
rec_license_rev_06,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/06,9,Year 2017 US Dollars
rec_license_rev_07,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/07,9,Year 2017 US Dollars
rec_license_rev_08,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/08,9,Year 2017 US Dollars
rec_license_rev_09,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/09,9,Year 2017 US Dollars
rec_license_rev_10,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/10,9,Year 2017 US Dollars
rec_license_rev_11,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/11,9,Year 2017 US Dollars
rec_license_rev_12,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/12,9,Year 2017 US Dollars
rec_license_rev_13,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/13,9,Year 2017 US Dollars
rec_license_rev_14,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/14,9,Year 2017 US Dollars
rec_license_rev_15,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/15,9,Year 2017 US Dollars
rec_license_rev_16,.,Economic impact of coral reef fishing to jurisdiction,6,1/1/16,9,Year 2017 US Dollars
Arrivals_05,"67,687,479",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,3;5;16,number of people
Arrivals_06,"69,145,854",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,3;5;16,number of people
Arrivals_07,"69,135,310",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,3;5;16,number of people
Arrivals_08,"63,130,133",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,3;5;16,number of people
Arrivals_09,"60,255,061",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,3;5;16,number of people
Arrivals_10,"64,951,433",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,3;5;16,number of people
Arrivals_11,"67,825,871",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,3;5;16,number of people
Arrivals_12,"73,663,903",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,3;5;16,number of people
Arrivals_13,"74,049,772",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,3;5;16,number of people
Arrivals_14,"75,269,197",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,3;5;16,number of people
Arrivals_15,"78,086,081",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,3;5;16,number of people
Arrivals_16,"79,669,135",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,3;5;16,number of people
tourism_GDP_05,"$6,078,624,103.82 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_06,"$6,303,728,847.91 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_07,"$6,351,512,974.94 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_08,"$5,894,958,018.09 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_09,"$5,260,889,025.56 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_10,"$5,453,596,171.43 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_11,"$5,848,280,218.27 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_12,"$6,256,115,545.20 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_13,"$6,566,590,723.52 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_14,"$6,725,741,370.14 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_15,"$7,167,820,752.45 ",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,11;13;17;18;19,Year 2017 US Dollars
tourism_GDP_16,.,Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,11;13;17;18;19,Year 2017 US Dollars
tourism_emp_05,"95,164",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,11;13;17;18;19,number of people
tourism_emp_06,"97,029",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,11;13;17;18;19,number of people
tourism_emp_07,"98,871",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/07,11;13;17;18;19,number of people
tourism_emp_08,"96,449",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/08,11;13;17;18;19,number of people
tourism_emp_09,"90,955",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/09,11;13;17;18;19,number of people
tourism_emp_10,"90,777",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/10,11;13;17;18;19,number of people
tourism_emp_11,"93,206",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/11,11;13;17;18;19,number of people
tourism_emp_12,"96,508",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/12,11;13;17;18;19,number of people
tourism_emp_13,"99,989",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/13,11;13;17;18;19,number of people
tourism_emp_14,"101,922",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/14,11;13;17;18;19,number of people
tourism_emp_15,"103,512",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/15,11;13;17;18;19,number of people
tourism_emp_16,"110,729",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/16,11;13;17;18;19,number of people
tourism_estbl_05,"3,435",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/05,11;13;17,number of businesses
tourism_estbl_06,"3,499",Economic impact of dive/snorkel tourism to jurisdiction,7,1/1/06,11;13;17,number of businesses
