Year,Community,County,ZI,EI,EQI
2010,Kekaha-Waimea,Kauai County,0.9565399177719448,2.68981,2.812020648615833
2011,Kekaha-Waimea,Kauai County,1.0000696847924553,2.45861,2.458438684210527
2012,Kekaha-Waimea,Kauai County,1.0000696847924553,4.48504,4.484727482696149
2013,Kekaha-Waimea,Kauai County,1.0000696847924553,2.83562,2.835422414177545
2014,Kekaha-Waimea,Kauai County,0.98761933520708,2.4856,2.516759151418223
2015,Kekaha-Waimea,Kauai County,1.0000464565283036,2.70955,2.709424129561239
2016,Kekaha-Waimea,Kauai County,1.0000464565283036,2.44814,2.4480262731981512
2017,Kekaha-Waimea,Kauai County,1.0000464565283036,1.92653,1.9264405042621888
2018,Kekaha-Waimea,Kauai County,1.0000464565283036,1.78676,1.786676997189511
2010,Koloa-Poipu,Kauai County,0.9715221481498688,2.21372,2.278609915600718
2011,Koloa-Poipu,Kauai County,0.9834150193956004,2.06912,2.1040150487753033
2012,Koloa-Poipu,Kauai County,1.000116141320759,2.34181,2.341538050678187
2013,Koloa-Poipu,Kauai County,1.000116141320759,2.57462,2.574321014957265
2014,Koloa-Poipu,Kauai County,0.999976771735848,2.67249,2.672552078745645
2015,Koloa-Poipu,Kauai County,0.999976771735848,2.78568,2.785744708013938
2016,Koloa-Poipu,Kauai County,0.999976771735848,2.13437,2.134419578861789
2017,Koloa-Poipu,Kauai County,0.999976771735848,1.77871,1.7787513173054592
2018,Koloa-Poipu,Kauai County,0.999976771735848,1.57248,1.572516526829269
2010,Lihue,Kauai County,0.9730784418480404,4.73195,4.862865927862123
2011,Lihue,Kauai County,1.0000696847924553,3.70121,3.70095209992103
2012,Lihue,Kauai County,1.0000696847924553,3.30769,3.3074595203697688
2013,Lihue,Kauai County,0.9836473020371188,3.67382,3.7348956199966943
2014,Lihue,Kauai County,1.0000696847924553,3.19733,3.1971072102475966
2015,Lihue,Kauai County,1.0000696847924553,3.20699,3.2067665371394067
2016,Lihue,Kauai County,1.0000696847924553,3.35441,3.3541762649231206
2017,Lihue,Kauai County,1.0000696847924553,4.30982,4.30951969201468
2018,Lihue,Kauai County,1.0000696847924553,4.10521,4.104923949226553
2010,Puhi-Hanamaulu,Kauai County,0.8927783326751991,0.6646,0.7444177078183947
2011,Puhi-Hanamaulu,Kauai County,0.8915240064110008,0.48214,0.5408042818061021
2012,Puhi-Hanamaulu,Kauai County,0.933172284035214,0.46079,0.4937887760740778
2013,Puhi-Hanamaulu,Kauai County,0.9602796683003878,0.4479,0.4664266200624078
2014,Puhi-Hanamaulu,Kauai County,1.0000696847924553,0.3903,0.39027280392065783
2015,Puhi-Hanamaulu,Kauai County,1.0000696847924553,0.29323,0.29320956775212526
2016,Puhi-Hanamaulu,Kauai County,1.0000696847924553,0.27752,0.2775006624239328
2017,Puhi-Hanamaulu,Kauai County,1.0000696847924553,0.33592,0.3358965931156223
2018,Puhi-Hanamaulu,Kauai County,1.0000696847924553,0.34559,0.34556591931063324
2010,Wailua-Anahola,Kauai County,1.000116141320759,0.4624,0.4623463024897807
2011,Wailua-Anahola,Kauai County,0.9839028129427888,0.37661,0.3827715451626611
2012,Wailua-Anahola,Kauai County,0.9668764953195046,0.41165,0.4257524120120121
2013,Wailua-Anahola,Kauai County,1.000116141320759,0.4624,0.4623463024897807
2014,Wailua-Anahola,Kauai County,1.000116141320759,0.44709,0.4470380804069119
2015,Wailua-Anahola,Kauai County,0.999976771735848,0.50872,0.5087318169570267
2016,Wailua-Anahola,Kauai County,1,0.43461,0.43461
2017,Wailua-Anahola,Kauai County,1,0.30048,0.30048
2018,Wailua-Anahola,Kauai County,1,0.3033,0.3033
2010,Ewa,Honolulu County,0.9912894009430674,0.37983,0.3831676195051083
2011,Ewa,Honolulu County,0.998443706301828,0.43743,0.4381118306811837
2012,Ewa,Honolulu County,0.9998838586792408,0.43622,0.4362706690517122
2013,Ewa,Honolulu County,0.9998838586792408,0.45877,0.4588232883427032
2014,Ewa,Honolulu County,0.9998838586792408,0.48254,0.48259604934256384
2015,Ewa,Honolulu County,1.0006039348679472,0.45233,0.45205698702323754
2016,Ewa,Honolulu County,1.0006736196604027,0.54215,0.5417850429433613
2017,Ewa,Honolulu County,1.0006736196604027,0.81242,0.8118731063138348
2018,Ewa,Honolulu County,1.002067315509512,0.92158,0.9196787338896616
2010,Honolulu,Honolulu County,0.9978397714338806,2.80259,2.808657341822246
2011,Honolulu,Honolulu County,0.9983507932452208,2.97418,2.9790931405304795
2012,Honolulu,Honolulu County,0.9983507932452208,3.47726,3.4830041940437413
2013,Honolulu,Honolulu County,1.000905902301921,3.31937,3.316365696681365
2014,Honolulu,Honolulu County,1.000905902301921,3.2509,3.2479576676723143
2015,Honolulu,Honolulu County,1.000905902301921,3.6843,3.68096540496635
2016,Honolulu,Honolulu County,1.0009291305660728,3.62791,3.624542326936019
2017,Honolulu,Honolulu County,1.0009291305660728,3.41322,3.410051616810935
2018,Honolulu,Honolulu County,1.0009291305660728,2.98949,2.986714951846093
2010,Koolauloa,Honolulu County,0.9967480430187452,0.49221,0.4938158679592645
2011,Koolauloa,Honolulu County,1.0000929130566072,0.48576,0.4857148707467194
2012,Koolauloa,Honolulu County,1.0000696847924553,0.62875,0.6287061887397224
2013,Koolauloa,Honolulu County,1.0000696847924553,1.03395,1.0338779544293215
2014,Koolauloa,Honolulu County,1.0000696847924553,0.48536,0.48532618014586343
2015,Koolauloa,Honolulu County,1.0000696847924553,0.49704,0.49700536628420133
2016,Koolauloa,Honolulu County,1.0000696847924553,0.40601,0.4059817092488503
2017,Koolauloa,Honolulu County,1,0.3609,0.3609
2018,Koolauloa,Honolulu County,1,0.32424,0.32424
2010,Koolaupoko,Honolulu County,1.000116141320759,1.31832,1.318166906354515
2011,Koolaupoko,Honolulu County,1.000116141320759,1.3876,1.387438861018209
2012,Koolaupoko,Honolulu County,1.000116141320759,1.52052,1.5203434253065775
2013,Koolaupoko,Honolulu County,1.000116141320759,1.25509,1.2549442491174283
2014,Koolaupoko,Honolulu County,1.000116141320759,1.39123,1.3910684394741732
2015,Koolaupoko,Honolulu County,1.000116141320759,1.48266,1.4824878219063546
2016,Koolaupoko,Honolulu County,0.9999535434716964,1.44641,1.446477198308904
2017,Koolaupoko,Honolulu County,0.9999535434716964,1.11935,1.1194020035308605
2018,Koolaupoko,Honolulu County,0.9990940976980788,0.81685,0.8175906572584396
2010,Wahiawa,Honolulu County,0.8852523750900095,1.098,1.2403242633360447
2011,Wahiawa,Honolulu County,0.8994216162226196,0.91513,1.0174649836006302
2012,Wahiawa,Honolulu County,0.9646001254326264,0.70246,0.7282395901461699
2013,Wahiawa,Honolulu County,0.9951917493205732,0.67547,0.6787335209130801
2014,Wahiawa,Honolulu County,0.9951917493205732,0.75724,0.7608985911679583
2015,Wahiawa,Honolulu County,0.9952614341130286,0.97595,0.9805966217004692
2016,Wahiawa,Honolulu County,0.9952614341130286,0.74999,0.7535607974887392
2017,Wahiawa,Honolulu County,0.9952614341130286,0.66863,0.6718134322122903
2018,Wahiawa,Honolulu County,1.0385821467561729,0.65292,0.6286647638217929
2010,Waialua,Honolulu County,0.9998374021509372,1.84799,1.8482905280643065
2011,Waialua,Honolulu County,0.9998374021509372,1.78193,1.782219785103615
2012,Waialua,Honolulu County,0.999860630415089,1.59947,1.599692948542223
2013,Waialua,Honolulu County,1.0002787391698218,1.4879,1.4874853795601792
2014,Waialua,Honolulu County,1.0002787391698218,1.44883,1.448426266864826
2015,Waialua,Honolulu County,1.000116141320759,1.6333,1.6331103284095132
2016,Waialua,Honolulu County,1.000116141320759,1.36464,1.3644815273132664
2017,Waialua,Honolulu County,1.000116141320759,1.04886,1.048738198160535
2018,Waialua,Honolulu County,1.000116141320759,0.84142,0.8413222877183203
2010,Waianae,Honolulu County,1.0004413370188845,1.37028,1.3696755114929189
2011,Waianae,Honolulu County,1.0004413370188845,1.24058,1.2400327276526586
2012,Waianae,Honolulu County,1.0004413370188845,1.54308,1.542399282098909
2013,Waianae,Honolulu County,0.9998838586792408,1.18822,1.1883580174696835
2014,Waianae,Honolulu County,0.9998838586792408,1.15117,1.1513037139339313
2015,Waianae,Honolulu County,0.9998838586792408,0.94776,0.9478700868837988
2016,Waianae,Honolulu County,0.9998838586792408,0.69199,0.6920703779677555
2017,Waianae,Honolulu County,0.9998838586792408,0.79631,0.7964024952376528
2018,Waianae,Honolulu County,0.9998838586792408,0.57679,0.5768569969335131
2010,East Molokai,Maui County,1.0000696847924553,1.75374,1.7536177995075954
2011,East Molokai,Maui County,1.0000696847924553,1.94989,1.9497541317879872
2012,East Molokai,Maui County,1.0000696847924553,2.8465,2.846301656059832
2013,East Molokai,Maui County,0.9953078906413324,2.67249,2.685088729958692
2014,East Molokai,Maui County,0.9609765162249424,2.90007,3.017836493437432
2015,East Molokai,Maui County,1.0000464565283036,2.78084,2.7807108178291875
2016,East Molokai,Maui County,1.0000464565283036,1.94345,1.9433597182542448
2017,East Molokai,Maui County,0.9744024529046944,1.63975,1.6828262235095
2018,East Molokai,Maui County,1.0000464565283036,1.32114,1.3210786272733608
2010,Haiku-Pauwela,Maui County,1.0000696847924553,1.20554,1.205455998048962
2011,Haiku-Pauwela,Maui County,1.0000696847924553,1.23897,1.238883668648674
2012,Haiku-Pauwela,Maui County,1.0000696847924553,1.22528,1.225194622567009
2013,Haiku-Pauwela,Maui County,1.0000696847924553,1.11693,1.116852172388164
2014,Haiku-Pauwela,Maui County,1.0000696847924553,1.3876,1.3875033121196638
2015,Haiku-Pauwela,Maui County,1.0000696847924553,1.30866,1.3085688126538766
2016,Haiku-Pauwela,Maui County,1.0000696847924553,1.05248,1.0524066632600924
2017,Haiku-Pauwela,Maui County,0.972126083017816,0.8668,0.8916538864065374
2018,Haiku-Pauwela,Maui County,1.0000696847924553,0.723,0.7229496214056766
2010,Hana,Maui County,1.000371652226429,3.1796,3.178418733601134
2011,Hana,Maui County,1.000371652226429,3.37657,3.375315556458542
2012,Hana,Maui County,1.000371652226429,3.19974,3.1985512513061045
2013,Hana,Maui County,1.000371652226429,3.95054,3.949072318480508
2014,Hana,Maui County,1.000371652226429,4.50437,4.502696562797502
2015,Hana,Maui County,1.000371652226429,4.73557,4.733810668725475
2016,Hana,Maui County,0.9568651134700702,4.84191,5.0601803031994965
2017,Hana,Maui County,0.941046665582681,3.34193,3.5512904112260264
2018,Hana,Maui County,0.8952637569394438,4.30177,4.805030882413991
2010,Kahului,Maui County,0.914334161808088,0.72824,0.7964702954551229
2011,Kahului,Maui County,0.933149055771062,0.79913,0.8563797981231176
2012,Kahului,Maui County,0.96464658196093,0.78785,0.8167239844446051
2013,Kahului,Maui County,0.9741237137348724,0.81806,0.8397906636144694
2014,Kahului,Maui County,1.000371652226429,0.8527,0.8523832098822766
2015,Kahului,Maui County,1.000371652226429,0.70166,0.70139932337985
2016,Kahului,Maui County,0.9994425216603562,0.63358,0.6339334041415856
2017,Kahului,Maui County,0.9994425216603562,0.51033,0.5106146566109653
2018,Kahului,Maui County,0.9994425216603562,0.39916,0.3993826471750297
2010,Kihei,Maui County,0.9822303779238576,1.27522,1.2982901248640213
2011,Kihei,Maui County,1.0006736196604027,1.19507,1.194265519266481
2012,Kihei,Maui County,1.0006736196604027,0.9534,0.9527582033426184
2013,Kihei,Maui County,1.0006736196604027,0.84545,0.8448808716341691
2014,Kihei,Maui County,1.0006736196604027,0.93729,0.9366590480501392
2015,Kihei,Maui County,1.0006736196604027,0.9824,0.9817386815227483
2016,Kihei,Maui County,0.9988385867924088,0.79631,0.7972359203274344
2017,Kihei,Maui County,0.9988385867924088,0.72582,0.7266639571172765
2018,Kihei,Maui County,0.9988385867924088,0.78463,0.7855423392479247
2010,Kula,Maui County,0.9757961487538036,1.18017,1.209443182889381
2011,Kula,Maui County,0.9628580056212398,1.07584,1.1173402451027694
2012,Kula,Maui County,0.9996283477735708,0.96508,0.965438807482282
2013,Kula,Maui County,0.9996283477735708,0.85874,0.85905927129081
2014,Kula,Maui County,0.9996283477735708,0.7226,0.7228686557453238
2015,Kula,Maui County,0.9996283477735708,0.72502,0.7252895554780994
2016,Kula,Maui County,1.0009291305660728,0.74918,0.7484845601169617
2017,Kula,Maui County,1.0009291305660728,0.49905,0.4985867478127683
2018,Kula,Maui County,1.0009291305660728,0.39594,0.3955724615348913
2010,Lahaina,Maui County,0.9649950059232072,2.15129,2.229327599412671
2011,Lahaina,Maui County,0.9608603749041832,2.24916,2.340777139679931
2012,Lahaina,Maui County,0.9456226336205894,2.57744,2.7256538796364533
2013,Lahaina,Maui County,1.0000696847924553,1.64418,1.6440654336414735
2014,Lahaina,Maui County,1.0000696847924553,1.79845,1.79832468411762
2015,Lahaina,Maui County,1.0000464565283036,1.58416,1.5840864088449125
2016,Lahaina,Maui County,1.0000464565283036,1.06457,1.0645205460711218
2017,Lahaina,Maui County,1.0000464565283036,1.45809,1.458022265347363
2018,Lahaina,Maui County,1.0000464565283036,1.43231,1.432243462941026
2010,Lanai,Maui County,1.0000696847924553,2.39376,2.39359320295443
2011,Lanai,Maui County,1.0000696847924553,1.84074,1.840611737353092
2012,Lanai,Maui County,1.0000696847924553,2.13638,2.136231137176569
2013,Lanai,Maui County,1.0000696847924553,1.43312,1.4330201402889398
2014,Lanai,Maui County,1.0000696847924553,1.23575,1.2356638930180706
2015,Lanai,Maui County,1.0000696847924553,1.40371,1.4036121895758815
2016,Lanai,Maui County,1.0000696847924553,1.6039,1.603788240349329
2017,Lanai,Maui County,0.9895240528675292,1.10364,1.115324076056338
2018,Lanai,Maui County,0.8730575364103039,0.98038,1.1229271372319485
2010,Makawao-Paia,Maui County,1.0000696847924553,1.24945,1.249362938402936
2011,Makawao-Paia,Maui County,1.0000696847924553,1.34128,1.3411865396943377
2012,Makawao-Paia,Maui County,1.0000696847924553,1.59987,1.5997585211594745
2013,Makawao-Paia,Maui County,1.0000696847924553,1.82543,1.825302804152925
2014,Makawao-Paia,Maui County,1.0000696847924553,1.51488,1.5147744432573051
2015,Makawao-Paia,Maui County,1.0000696847924553,1.69251,1.692392066010127
2016,Makawao-Paia,Maui County,1.0000696847924553,1.5169,1.5167943025038326
2017,Makawao-Paia,Maui County,1.0000696847924553,1.64861,1.6484951249593536
2018,Makawao-Paia,Maui County,1.0000696847924553,0.82249,0.8224326889487622
2010,Spreckelsville,Maui County,0.8183782025969198,4.77625,5.836238043539964
2011,Spreckelsville,Maui County,0.9031381384869108,4.32795,4.792124056737225
2012,Spreckelsville,Maui County,0.777473229425565,5.07874,6.532366398972245
2013,Spreckelsville,Maui County,0.9973287496225406,4.16321,4.174360762763183
2014,Spreckelsville,Maui County,0.9762142575085364,4.21678,4.319523063268852
2015,Spreckelsville,Maui County,0.9973287496225406,3.78016,3.7902847997018823
2016,Spreckelsville,Maui County,1.0055050986039813,2.74701,2.7319702344760675
2017,Spreckelsville,Maui County,1.0055050986039813,3.95295,3.9313077631214193
2018,Spreckelsville,Maui County,0.8810016027502264,4.69086,5.324462504218519
2010,Waihee-Waikapu,Maui County,0.78328029546352,1.36948,1.748390720322648
2011,Waihee-Waikapu,Maui County,0.8715476992404357,1.43634,1.6480337235148317
2012,Waihee-Waikapu,Maui County,0.9613946249796752,1.2571,1.3075796008601324
2013,Waihee-Waikapu,Maui County,0.9993728368679008,1.09437,1.0950567792394943
2014,Waihee-Waikapu,Maui County,0.9993728368679008,0.89177,0.8923296362495352
2015,Waihee-Waikapu,Maui County,0.9993728368679008,0.85351,0.8540456259297138
2016,Waihee-Waikapu,Maui County,1.001393695849109,0.8668,0.8655936257567676
2017,Waihee-Waikapu,Maui County,1.001393695849109,0.77617,0.7750897606179399
2018,Waihee-Waikapu,Maui County,1.001393695849109,0.83055,0.8293940769177242
2010,Wailuku,Maui County,1.0145408933590392,0.71978,0.7094637630789661
2011,Wailuku,Maui County,1.0145408933590392,0.75321,0.7424146280651145
2012,Wailuku,Maui County,1.0097558709437644,0.69441,0.6877008789767891
2013,Wailuku,Maui County,1.0097558709437644,0.63721,0.6310535232683858
2014,Wailuku,Maui County,1.0097558709437644,0.58888,0.583190469048331
2015,Wailuku,Maui County,1.0097558709437644,0.55343,0.5480829732465321
2016,Wailuku,Maui County,0.9774918120368864,0.65211,0.6671257927379879
2017,Wailuku,Maui County,0.9774918120368864,0.49744,0.5088942882942827
2018,Wailuku,Maui County,0.9774918120368864,0.50832,0.5200248163110119
2010,West Molokai,Maui County,1.0000696847924553,1.04886,1.0487869155014633
2011,West Molokai,Maui County,0.982834312791805,0.97152,0.9884880771412368
2012,West Molokai,Maui County,0.9705465610554924,0.75684,0.7798080281454179
2013,West Molokai,Maui County,1.0000696847924553,1.16003,1.1599491691828867
2014,West Molokai,Maui County,1.0000696847924553,1.09236,1.0922838844242115
2015,West Molokai,Maui County,1.0000696847924553,1.0839,1.0838244739164773
2016,West Molokai,Maui County,1.0000696847924553,1.04644,1.0463670841269106
2017,West Molokai,Maui County,1.0000696847924553,0.90305,0.9029870755330516
2018,West Molokai,Maui County,0.910199530789064,1.1701,1.2855423019012375
2010,Hilo,Hawaii County,1,1.00012,1.00012
2011,Hilo,Hawaii County,1,0.99126,0.99126
2012,Hilo,Hawaii County,0.999976771735848,1.13143,1.1314562817653893
2013,Hilo,Hawaii County,0.999976771735848,1.05732,1.057344560278746
2014,Hilo,Hawaii County,0.999976771735848,1.069,1.0690248315911732
2015,Hilo,Hawaii County,0.999976771735848,0.93527,0.9352917252032522
2016,Hilo,Hawaii County,1.0002090543773663,0.84223,0.8420539649326523
2017,Hilo,Hawaii County,1.0002090543773663,0.88372,0.8835352930794241
2018,Hilo,Hawaii County,1.0002090543773663,0.82773,0.8275569955875522
2010,Honokaa-Kukuihaele,Hawaii County,1.0000464565283036,1.09437,1.09431916173089
2011,Honokaa-Kukuihaele,Hawaii County,1.0000464565283036,1.39687,1.396805109283906
2012,Honokaa-Kukuihaele,Hawaii County,1.0000696847924553,1.53341,1.5333031520880755
2013,Honokaa-Kukuihaele,Hawaii County,1.0000696847924553,1.55113,1.5510219173595952
2014,Honokaa-Kukuihaele,Hawaii County,1.0000696847924553,1.00536,1.0052899465787153
2015,Honokaa-Kukuihaele,Hawaii County,0.9783744860746556,1.57772,1.6125931557454891
2016,Honokaa-Kukuihaele,Hawaii County,0.991730737961952,1.26435,1.2748924194870597
2017,Honokaa-Kukuihaele,Hawaii County,1.0000696847924553,1.21722,1.2171351841873
2018,Honokaa-Kukuihaele,Hawaii County,0.973914659357506,1.08954,1.1187222510017174
2010,Kau,Hawaii County,0.9061810410907992,1.71628,1.8939703240028711
2011,Kau,Hawaii County,0.9154491184873754,1.64458,1.7964734104691582
2012,Kau,Hawaii County,0.9392813175071428,1.91848,2.0424977738210055
2013,Kau,Hawaii County,0.982183921395554,1.79563,1.8282013794816008
2014,Kau,Hawaii County,0.998699217207498,2.20889,2.211767028491685
2015,Kau,Hawaii County,0.998699217207498,4.55593,4.561863994185371
2016,Kau,Hawaii County,1.0027641634340665,3.53164,3.521904879314339
2017,Kau,Hawaii County,1.0027641634340665,2.3837,2.3771292263145707
2018,Kau,Hawaii County,1.0027641634340665,1.31389,1.31026820454019
2010,Keaau-Mountain View,Hawaii County,0.8620937957306449,0.85955,0.9970492819421244
2011,Keaau-Mountain View,Hawaii County,0.91589045550626,0.93527,1.0211592383971595
2012,Keaau-Mountain View,Hawaii County,0.9590021137720376,0.87244,0.9097373065930342
2013,Keaau-Mountain View,Hawaii County,1.000627163132099,1.09679,1.0961025648823064
2014,Keaau-Mountain View,Hawaii County,1.000627163132099,1.12418,1.123475397650773
2015,Keaau-Mountain View,Hawaii County,1.000627163132099,0.99811,0.9974844145503506
2016,Keaau-Mountain View,Hawaii County,0.9988618150565608,0.97031,0.9714156506674108
2017,Keaau-Mountain View,Hawaii County,0.9988618150565608,0.77657,0.7774548874470955
2018,Keaau-Mountain View,Hawaii County,0.9988618150565608,0.75039,0.7512450558113576
2010,North Hilo,Hawaii County,1.002322826415182,0.86801,0.8659984359574516
2011,North Hilo,Hawaii County,1.002322826415182,0.62231,0.6208678317999583
2012,North Hilo,Hawaii County,1.0023460546793337,1.08753,1.0849845668798668
2013,North Hilo,Hawaii County,1.002322826415182,1.12096,1.118362238650321
2014,North Hilo,Hawaii County,1.002322826415182,0.66057,0.6590391664156103
2015,North Hilo,Hawaii County,0.9260412069406052,0.49503,0.5345658446835729
2016,North Hilo,Hawaii County,0.9271097070915888,0.7363,0.7941886427980859
2017,North Hilo,Hawaii County,0.8944739959582819,0.51033,0.5705364295730757
2018,North Hilo,Hawaii County,0.8352883788994447,0.84908,1.0165112091212458
2010,North Kohala,Hawaii County,0.8909432998072053,2.17143,2.437225803785588
2011,North Kohala,Hawaii County,0.9534273303756008,1.44923,1.5200214571456416
2012,North Kohala,Hawaii County,0.9969570973961116,1.38599,1.390220304986021
2013,North Kohala,Hawaii County,1.0000696847924553,1.56281,1.5627011034979332
2014,North Kohala,Hawaii County,1.0000696847924553,1.08712,1.087044249547081
2015,North Kohala,Hawaii County,1.0000696847924553,1.33081,1.3307172692432765
2016,North Kohala,Hawaii County,1.0000696847924553,1.46856,1.4684576708319788
2017,North Kohala,Hawaii County,1.0000696847924553,1.07584,1.0757650355367678
2018,North Kohala,Hawaii County,1.0000696847924553,0.90063,0.9005672441584989
2010,North Kona,Hawaii County,0.9757496922255,4.56157,4.67493870235913
2011,North Kona,Hawaii County,1.0015795219623236,4.42663,4.419649067232544
2012,North Kona,Hawaii County,1.0015795219623236,4.22443,4.217767942902202
2013,North Kona,Hawaii County,1.0015795219623236,4.25867,4.251953945360515
2014,North Kona,Hawaii County,1.0015795219623236,4.20993,4.203290809851806
2015,North Kona,Hawaii County,1.0015795219623236,3.86877,3.862668829750227
2016,North Kona,Hawaii County,0.997026782188567,3.02453,3.03354940311721
2017,North Kona,Hawaii County,0.997026782188567,3.45229,3.46258501945344
2018,North Kona,Hawaii County,0.997026782188567,3.16389,3.173324986370943
2010,Paauhau-Paauilo,Hawaii County,0.8625583610136813,2.4131,2.797607801475737
2011,Paauhau-Paauilo,Hawaii County,0.9150774662609462,1.60511,1.7540700751364389
2012,Paauhau-Paauilo,Hawaii County,0.9954240319620914,1.86813,1.8767178006720495
2013,Paauhau-Paauilo,Hawaii County,1.0003251956981254,1.63451,1.6339786371763614
2014,Paauhau-Paauilo,Hawaii County,1.0003251956981254,1.40492,1.40446327458493
2015,Paauhau-Paauilo,Hawaii County,1.0003251956981254,1.50924,1.5087493611981888
2016,Paauhau-Paauilo,Hawaii County,0.9995818912452672,1.52536,1.5259980331373597
2017,Paauhau-Paauilo,Hawaii County,0.9995818912452672,1.36948,1.3700528310831224
2018,Paauhau-Paauilo,Hawaii County,0.8993983879584677,1.36907,1.5222064196797522
2010,Pahoa-Kalapana,Hawaii County,0.9579800701493576,1.92089,2.00514609839484
2011,Pahoa-Kalapana,Hawaii County,0.9891756289052518,1.76622,1.7855474279675942
2012,Pahoa-Kalapana,Hawaii County,0.9936354556224012,1.89028,1.9023878317787597
2013,Pahoa-Kalapana,Hawaii County,1.0000464565283036,1.81939,1.8193054813834113
2014,Pahoa-Kalapana,Hawaii County,1.0000464565283036,2.19761,2.1975079114115164
2015,Pahoa-Kalapana,Hawaii County,1.0000464565283036,2.13155,2.131450980187211
2016,Pahoa-Kalapana,Hawaii County,1.0000929130566072,1.92895,1.9287707920102195
2017,Pahoa-Kalapana,Hawaii County,1.0000929130566072,1.24099,1.2408747065381491
2018,Pahoa-Kalapana,Hawaii County,1.0000929130566072,0.96468,0.9645903769597028
2010,Papaikou-Wailea,Hawaii County,1.0000232282641517,0.46482,0.4648092032890459
2011,Papaikou-Wailea,Hawaii County,1.0000696847924553,0.30692,0.3068986138337902
2012,Papaikou-Wailea,Hawaii County,1.0000696847924553,0.52443,0.5243934577507317
2013,Papaikou-Wailea,Hawaii County,1.0000696847924553,0.68353,0.6834823716727831
2014,Papaikou-Wailea,Hawaii County,1.0000696847924553,0.88251,0.882448506758954
2015,Papaikou-Wailea,Hawaii County,0.9895240528675292,0.5059,0.5112558896713616
2016,Papaikou-Wailea,Hawaii County,0.9822303779238576,0.6795,0.6917928983587949
2017,Papaikou-Wailea,Hawaii County,0.9426726440733084,0.7081,0.7511621393194194
2018,Papaikou-Wailea,Hawaii County,0.8444635432394136,0.5929,0.702102541603631
2010,South Kohala,Hawaii County,0.9966783582262896,1.6623000000000001,1.6678399669059385
2011,South Kohala,Hawaii County,0.9958421407168242,1.30543,1.3108804564750889
2012,South Kohala,Hawaii County,0.9502450581868016,1.56362,1.6454913251362782
2013,South Kohala,Hawaii County,1.0000464565283036,1.39002,1.3899554274963415
2014,South Kohala,Hawaii County,1.0000464565283036,1.57812,1.578046689429308
2015,South Kohala,Hawaii County,1.0000464565283036,1.52495,1.5248791594081714
