Estimate Status,Year,Region,Common Name,Total Harvest (A+B1),PSE Harvest,Released (B2),PSE Released
FINAL,1990,MID-ATLANTIC,ALL SPECIES,"80,838,575",4.8,"86,098,389",3.7
FINAL,1990,SOUTH ATLANTIC,ALL SPECIES,"89,787,982",5.8,"59,642,128",5.2
FINAL,1990,GULF OF MEXICO,ALL SPECIES,"130,535,494",7.2,"179,415,588",7.3
FINAL,1990,TEXAS,ALL SPECIES,"1,219,792",.,.,.
FINAL,1991,NORTH ATLANTIC,ALL SPECIES,"35,136,303",9.2,"13,709,662",6.2
FINAL,1991,MID-ATLANTIC,ALL SPECIES,"102,102,026",4.7,"126,911,770",5.7
FINAL,1991,SOUTH ATLANTIC,ALL SPECIES,"101,294,840",6.2,"71,410,555",4.7
FINAL,1991,GULF OF MEXICO,ALL SPECIES,"197,119,144",6.6,"226,239,667",3.3
FINAL,1991,TEXAS,ALL SPECIES,"1,745,620",.,.,.
PRELIMINARY,1992,PACIFIC NORTHWEST,ALL SPECIES,"117,328",1.2,0,.
FINAL,1992,NORTH ATLANTIC,ALL SPECIES,"30,119,954",16.6,"15,419,839",7.3
FINAL,1992,MID-ATLANTIC,ALL SPECIES,"81,735,797",5,"88,970,355",4.1
FINAL,1992,SOUTH ATLANTIC,ALL SPECIES,"105,160,005",6.2,"73,000,292",3.4
FINAL,1992,GULF OF MEXICO,ALL SPECIES,"150,158,520",6,"170,958,336",2.6
FINAL,1992,TEXAS,ALL SPECIES,"2,163,782",.,.,.
PRELIMINARY,1993,SOUTHERN CALIFORNIA,ALL SPECIES,"7,294,634",2.2,"9,163,373",2.6
PRELIMINARY,1993,NORTHERN CALIFORNIA,ALL SPECIES,"9,010,831",5.4,"3,434,305",3.4
PRELIMINARY,1993,PACIFIC NORTHWEST,ALL SPECIES,"2,106,415",7.4,"242,746",9.5
FINAL,1993,NORTH ATLANTIC,ALL SPECIES,"28,414,066",8.7,"15,257,109",8.4
FINAL,1993,MID-ATLANTIC,ALL SPECIES,"70,055,070",5.2,"110,518,322",3.8
FINAL,1993,SOUTH ATLANTIC,ALL SPECIES,"87,963,368",5.9,"66,718,063",3
FINAL,1993,GULF OF MEXICO,ALL SPECIES,"166,942,793",5.3,"187,373,020",2.9
FINAL,1993,TEXAS,ALL SPECIES,"2,170,333",.,.,.
PRELIMINARY,1994,SOUTHERN CALIFORNIA,ALL SPECIES,"9,131,251",2.5,"10,482,605",2.7
PRELIMINARY,1994,NORTHERN CALIFORNIA,ALL SPECIES,"4,423,371",8.6,"1,533,039",4.1
PRELIMINARY,1994,PACIFIC NORTHWEST,ALL SPECIES,"1,468,474",5.1,"209,596",7.7
FINAL,1994,NORTH ATLANTIC,ALL SPECIES,"46,854,447",22.3,"17,065,720",4.5
FINAL,1994,MID-ATLANTIC,ALL SPECIES,"72,441,438",5.4,"99,460,863",3.1
FINAL,1994,SOUTH ATLANTIC,ALL SPECIES,"90,315,289",7,"90,615,286",2.7
FINAL,1994,GULF OF MEXICO,ALL SPECIES,"153,115,223",4.9,"186,980,345",4
FINAL,1994,TEXAS,ALL SPECIES,"2,305,771",.,.,.
PRELIMINARY,1995,SOUTHERN CALIFORNIA,ALL SPECIES,"8,552,990",3.5,"10,292,500",2.9
PRELIMINARY,1995,NORTHERN CALIFORNIA,ALL SPECIES,"5,193,364",7.2,"2,166,336",4.2
PRELIMINARY,1995,PACIFIC NORTHWEST,ALL SPECIES,"1,319,060",2.9,"327,817",7.8
FINAL,1995,NORTH ATLANTIC,ALL SPECIES,"24,916,965",21.3,"25,653,998",5.9
FINAL,1995,MID-ATLANTIC,ALL SPECIES,"60,992,713",5.4,"111,155,295",6.4
FINAL,1995,SOUTH ATLANTIC,ALL SPECIES,"74,368,295",4.3,"88,777,273",3
FINAL,1995,GULF OF MEXICO,ALL SPECIES,"157,081,008",5.9,"166,971,887",3.3
FINAL,1995,TEXAS,ALL SPECIES,"2,276,827",.,.,.
PRELIMINARY,1996,SOUTHERN CALIFORNIA,ALL SPECIES,"7,755,034",2.4,"8,971,527",2.8
PRELIMINARY,1996,NORTHERN CALIFORNIA,ALL SPECIES,"5,403,071",6.6,"1,578,653",3.8
PRELIMINARY,1996,PACIFIC NORTHWEST,ALL SPECIES,"6,330,489",17.6,"1,850,763",7.9
FINAL,1996,NORTH ATLANTIC,ALL SPECIES,"19,379,110",8.9,"29,916,209",5.3
FINAL,1996,MID-ATLANTIC,ALL SPECIES,"60,211,386",5.2,"97,911,172",3.7
FINAL,1996,SOUTH ATLANTIC,ALL SPECIES,"71,120,566",6.5,"78,735,281",3.1
FINAL,1996,GULF OF MEXICO,ALL SPECIES,"134,226,072",4.6,"150,104,864",3.7
FINAL,1996,TEXAS,ALL SPECIES,"2,424,256",.,.,.
FINAL,1996,ALASKA,ALL SPECIES,"1,043,632",.,"909,976",.
PRELIMINARY,1997,SOUTHERN CALIFORNIA,ALL SPECIES,"6,357,187",2.9,"9,142,847",3.1
PRELIMINARY,1997,NORTHERN CALIFORNIA,ALL SPECIES,"5,684,841",5.5,"1,950,815",7.1
PRELIMINARY,1997,PACIFIC NORTHWEST,ALL SPECIES,"4,070,883",8.2,"2,173,067",5.3
FINAL,1997,NORTH ATLANTIC,ALL SPECIES,"18,683,409",8,"32,466,049",5.2
FINAL,1997,MID-ATLANTIC,ALL SPECIES,"69,358,028",5,"115,865,368",3.1
FINAL,1997,SOUTH ATLANTIC,ALL SPECIES,"68,113,360",4.3,"91,259,051",3.5
FINAL,1997,GULF OF MEXICO,ALL SPECIES,"157,313,332",7.3,"161,661,521",2.9
FINAL,1997,TEXAS,ALL SPECIES,"2,406,342",.,.,.
FINAL,1997,ALASKA,ALL SPECIES,"1,066,750",.,"1,036,482",.
PRELIMINARY,1998,SOUTHERN CALIFORNIA,ALL SPECIES,"5,846,239",4.2,"6,044,494",3.3
PRELIMINARY,1998,NORTHERN CALIFORNIA,ALL SPECIES,"6,155,558",12.1,"1,318,919",6.6
PRELIMINARY,1998,PACIFIC NORTHWEST,ALL SPECIES,"6,322,687",14.9,"1,340,927",6.9
FINAL,1998,NORTH ATLANTIC,ALL SPECIES,"15,185,100",6.9,"38,775,905",4.7
FINAL,1998,MID-ATLANTIC,ALL SPECIES,"64,838,785",6.1,"122,838,822",8.5
FINAL,1998,SOUTH ATLANTIC,ALL SPECIES,"77,909,519",5.7,"100,464,591",3.1
FINAL,1998,GULF OF MEXICO,ALL SPECIES,"139,199,157",4.2,"182,265,921",2.6
FINAL,1998,TEXAS,ALL SPECIES,"2,157,979",.,.,.
FINAL,1998,ALASKA,ALL SPECIES,"1,018,810",.,"879,219",.
PRELIMINARY,1999,SOUTHERN CALIFORNIA,ALL SPECIES,"5,332,164",2.7,"5,290,464",3.6
PRELIMINARY,1999,NORTHERN CALIFORNIA,ALL SPECIES,"3,844,616",3.2,"937,918",5.4
PRELIMINARY,1999,PACIFIC NORTHWEST,ALL SPECIES,"3,259,473",21.3,"1,544,522",12.6
FINAL,1999,NORTH ATLANTIC,ALL SPECIES,"22,898,407",8.4,"38,534,805",5
FINAL,1999,MID-ATLANTIC,ALL SPECIES,"58,803,089",7.9,"148,744,840",3.2
FINAL,1999,SOUTH ATLANTIC,ALL SPECIES,"132,269,825",4,"155,840,419",6.3
FINAL,1999,GULF OF MEXICO,ALL SPECIES,"162,292,130",4.4,"225,571,327",2.4
FINAL,1999,TEXAS,ALL SPECIES,"2,725,410",.,.,.
FINAL,1999,ALASKA,ALL SPECIES,"1,230,494",.,"1,095,602",.
PRELIMINARY,2000,SOUTHERN CALIFORNIA,ALL SPECIES,"6,789,161",3.4,"8,528,664",3
PRELIMINARY,2000,NORTHERN CALIFORNIA,ALL SPECIES,"3,641,884",4.1,"1,450,024",5.2
PRELIMINARY,2000,PACIFIC NORTHWEST,ALL SPECIES,"4,305,419",14.5,"1,966,217",8
FINAL,2000,NORTH ATLANTIC,ALL SPECIES,"33,445,812",12.4,"41,912,763",3.9
FINAL,2000,MID-ATLANTIC,ALL SPECIES,"100,634,349",29.8,"152,661,029",3.7
FINAL,2000,SOUTH ATLANTIC,ALL SPECIES,"128,316,817",4.7,"157,406,620",3.4
FINAL,2000,GULF OF MEXICO,ALL SPECIES,"155,410,988",5.2,"200,783,624",3.1
FINAL,2000,TEXAS,ALL SPECIES,"2,592,211",.,.,.
FINAL,2000,ALASKA,ALL SPECIES,"1,215,000",.,"1,059,561",.
FINAL,2000,CARIBBEAN,ALL SPECIES,"3,457,277",29.4,"279,388",14.8
FINAL,2001,NORTH ATLANTIC,ALL SPECIES,"25,598,385",7.1,"44,231,903",4.1
FINAL,2001,MID-ATLANTIC,ALL SPECIES,"56,813,841",6,"139,646,214",2.7
FINAL,2001,SOUTH ATLANTIC,ALL SPECIES,"132,579,855",5.7,"159,572,352",3.8
FINAL,2001,GULF OF MEXICO,ALL SPECIES,"166,185,114",3.4,"203,673,927",2.7
FINAL,2001,TEXAS,ALL SPECIES,"2,138,240",.,.,.
FINAL,2001,ALASKA,ALL SPECIES,"1,337,856",.,"1,049,953",.
FINAL,2001,CARIBBEAN,ALL SPECIES,"1,849,453",12,"318,289",23.5
FINAL,2002,NORTH ATLANTIC,ALL SPECIES,"23,023,117",9.4,"46,489,134",4.1
FINAL,2002,MID-ATLANTIC,ALL SPECIES,"61,442,859",5.6,"142,829,662",2.9
FINAL,2002,SOUTH ATLANTIC,ALL SPECIES,"150,102,737",4,"168,702,342",3.6
FINAL,2002,GULF OF MEXICO,ALL SPECIES,"174,546,080",4.1,"202,725,849",2.4
FINAL,2002,TEXAS,ALL SPECIES,"2,014,320",.,.,.
FINAL,2002,ALASKA,ALL SPECIES,"1,311,950",.,"934,748",.
FINAL,2002,CARIBBEAN,ALL SPECIES,"1,266,492",13.6,"158,801",13.8
FINAL,2003,NORTH ATLANTIC,ALL SPECIES,"24,375,801",7.2,"37,796,917",4
FINAL,2003,MID-ATLANTIC,ALL SPECIES,"77,107,421",4.6,"144,117,616",2.9
FINAL,2003,SOUTH ATLANTIC,ALL SPECIES,"154,855,551",4,"162,113,029",3
FINAL,2003,GULF OF MEXICO,ALL SPECIES,"155,664,980",5.2,"198,083,747",2.5
FINAL,2003,HAWAIIAN ISLANDS,ALL SPECIES,"12,083,798",29.2,"427,194",12
FINAL,2003,TEXAS,ALL SPECIES,"1,967,579",.,.,.
FINAL,2003,ALASKA,ALL SPECIES,"1,389,627",.,"1,150,824",.
FINAL,2003,CARIBBEAN,ALL SPECIES,"1,527,089",6.3,"149,932",10.6
PRELIMINARY,2004,PACIFIC NORTHWEST,ALL SPECIES,"1,175,220",.,"264,501",.
FINAL,2004,NORTH ATLANTIC,ALL SPECIES,"21,179,860",8.6,"39,354,117",11.2
FINAL,2004,MID-ATLANTIC,ALL SPECIES,"64,315,583",7,"157,302,958",5.1
FINAL,2004,SOUTH ATLANTIC,ALL SPECIES,"135,996,100",4.6,"158,398,912",3
FINAL,2004,GULF OF MEXICO,ALL SPECIES,"194,030,161",6.6,"224,951,669",2.7
FINAL,2004,HAWAIIAN ISLANDS,ALL SPECIES,"4,087,461",6.6,"370,152",11
FINAL,2004,TEXAS,ALL SPECIES,"2,014,548",.,.,.
FINAL,2004,ALASKA,ALL SPECIES,"1,578,993",.,"1,399,983",.
FINAL,2004,CARIBBEAN,ALL SPECIES,"870,972",9.1,"262,028",54.4
PRELIMINARY,2005,SOUTHERN CALIFORNIA,ALL SPECIES,"8,658,217",.,"6,801,386",.
PRELIMINARY,2005,NORTHERN CALIFORNIA,ALL SPECIES,"2,868,097",.,"1,353,328",.
PRELIMINARY,2005,PACIFIC NORTHWEST,ALL SPECIES,"847,751",.,"238,092",.
FINAL,2005,NORTH ATLANTIC,ALL SPECIES,"15,919,306",11.1,"40,396,260",6
FINAL,2005,MID-ATLANTIC,ALL SPECIES,"61,338,673",5.3,"175,838,307",3.7
FINAL,2005,SOUTH ATLANTIC,ALL SPECIES,"114,249,980",5.1,"148,596,149",3.1
FINAL,2005,GULF OF MEXICO,ALL SPECIES,"131,155,346",4.7,"193,194,337",3
FINAL,2005,HAWAIIAN ISLANDS,ALL SPECIES,"4,230,473",5.2,"508,380",8.9
FINAL,2005,TEXAS,ALL SPECIES,"1,847,949",.,.,.
FINAL,2005,ALASKA,ALL SPECIES,"1,769,990",.,"1,478,713",.
FINAL,2005,CARIBBEAN,ALL SPECIES,"923,947",23.2,"233,213",15.7
PRELIMINARY,2006,SOUTHERN CALIFORNIA,ALL SPECIES,"6,788,105",.,"6,305,082",.
PRELIMINARY,2006,NORTHERN CALIFORNIA,ALL SPECIES,"3,708,716",.,"1,728,368",.
PRELIMINARY,2006,PACIFIC NORTHWEST,ALL SPECIES,"730,582",.,"160,368",.
FINAL,2006,NORTH ATLANTIC,ALL SPECIES,"19,656,227",10.9,"58,903,716",6.4
FINAL,2006,MID-ATLANTIC,ALL SPECIES,"67,173,121",6.8,"151,162,814",3.6
FINAL,2006,SOUTH ATLANTIC,ALL SPECIES,"128,309,055",5.7,"181,720,341",2.9
FINAL,2006,GULF OF MEXICO,ALL SPECIES,"165,358,322",5.8,"174,326,970",3
FINAL,2006,HAWAIIAN ISLANDS,ALL SPECIES,"4,721,089",6.5,"454,291",11.5
FINAL,2006,TEXAS,ALL SPECIES,"2,115,635",.,.,.
FINAL,2006,ALASKA,ALL SPECIES,"1,312,604",.,"1,076,157",.
FINAL,2006,CARIBBEAN,ALL SPECIES,"664,879",14,"181,767",20.5
PRELIMINARY,2007,SOUTHERN CALIFORNIA,ALL SPECIES,"4,562,308",.,"4,266,358",.
PRELIMINARY,2007,NORTHERN CALIFORNIA,ALL SPECIES,"2,384,850",.,"981,886",.
PRELIMINARY,2007,PACIFIC NORTHWEST,ALL SPECIES,"842,158",.,"272,140",.
FINAL,2007,NORTH ATLANTIC,ALL SPECIES,"29,588,732",46.4,"37,009,105",5.2
FINAL,2007,MID-ATLANTIC,ALL SPECIES,"74,392,649",7,"162,571,977",4.3
FINAL,2007,SOUTH ATLANTIC,ALL SPECIES,"118,802,836",4.3,"177,403,273",2.7
FINAL,2007,GULF OF MEXICO,ALL SPECIES,"136,200,704",5.2,"184,173,521",2.6
FINAL,2007,HAWAIIAN ISLANDS,ALL SPECIES,"3,329,063",21.9,"381,169",9.5
FINAL,2007,TEXAS,ALL SPECIES,"1,821,398",.,.,.
FINAL,2007,ALASKA,ALL SPECIES,"1,669,002",.,"1,356,650",.
FINAL,2007,CARIBBEAN,ALL SPECIES,"1,067,645",15.2,"220,482",13.2
PRELIMINARY,2008,SOUTHERN CALIFORNIA,ALL SPECIES,"5,138,321",.,"3,870,381",.
PRELIMINARY,2008,NORTHERN CALIFORNIA,ALL SPECIES,"2,065,363",.,"738,883",.
PRELIMINARY,2008,PACIFIC NORTHWEST,ALL SPECIES,"627,975",.,"128,347",.
FINAL,2008,NORTH ATLANTIC,ALL SPECIES,"22,227,934",8.3,"41,576,348",5.5
FINAL,2008,MID-ATLANTIC,ALL SPECIES,"66,405,482",7.4,"177,386,401",3.8
FINAL,2008,SOUTH ATLANTIC,ALL SPECIES,"122,584,306",6.5,"169,561,956",2.9
FINAL,2008,GULF OF MEXICO,ALL SPECIES,"179,427,591",6.3,"221,859,532",2.5
FINAL,2008,HAWAIIAN ISLANDS,ALL SPECIES,"4,354,452",6.6,"326,619",18.9
FINAL,2008,TEXAS,ALL SPECIES,"1,838,743",.,.,.
FINAL,2008,ALASKA,ALL SPECIES,"1,435,574",.,"1,045,898",.
FINAL,2008,CARIBBEAN,ALL SPECIES,"1,341,257",15.8,"176,930",13.8
PRELIMINARY,2009,SOUTHERN CALIFORNIA,ALL SPECIES,"4,712,732",.,"3,700,431",.
PRELIMINARY,2009,NORTHERN CALIFORNIA,ALL SPECIES,"2,597,292",.,"910,629",.
PRELIMINARY,2009,PACIFIC NORTHWEST,ALL SPECIES,"923,802",.,"423,197",.
FINAL,2009,NORTH ATLANTIC,ALL SPECIES,"16,614,939",7.3,"35,170,442",5.8
FINAL,2009,MID-ATLANTIC,ALL SPECIES,"57,324,748",5.5,"176,666,881",4.3
FINAL,2009,SOUTH ATLANTIC,ALL SPECIES,"147,453,601",12,"181,104,979",3
FINAL,2009,GULF OF MEXICO,ALL SPECIES,"175,242,021",4.9,"184,192,776",2.2
FINAL,2009,HAWAIIAN ISLANDS,ALL SPECIES,"5,838,841",12.6,"254,223",13
FINAL,2009,TEXAS,ALL SPECIES,"1,806,913",.,.,.
FINAL,2009,ALASKA,ALL SPECIES,"1,432,220",.,"1,071,086",.
FINAL,2009,CARIBBEAN,ALL SPECIES,"663,590",12,"119,179",11.5
PRELIMINARY,2010,SOUTHERN CALIFORNIA,ALL SPECIES,"4,753,638",.,"3,399,447",.
PRELIMINARY,2010,NORTHERN CALIFORNIA,ALL SPECIES,"1,762,704",.,"560,950",.
PRELIMINARY,2010,PACIFIC NORTHWEST,ALL SPECIES,"810,671",.,"240,227",.
FINAL,2010,NORTH ATLANTIC,ALL SPECIES,"33,011,222",17,"36,100,583",5.9
FINAL,2010,MID-ATLANTIC,ALL SPECIES,"68,949,426",6.3,"179,863,697",4.3
FINAL,2010,SOUTH ATLANTIC,ALL SPECIES,"104,928,861",4,"206,459,434",3.1
FINAL,2010,GULF OF MEXICO,ALL SPECIES,"151,437,387",5.6,"198,796,014",2.3
FINAL,2010,HAWAIIAN ISLANDS,ALL SPECIES,"4,893,106",8.3,"313,399",10.8
FINAL,2010,TEXAS,ALL SPECIES,"1,733,761",.,.,.
FINAL,2010,ALASKA,ALL SPECIES,"1,325,244",.,"898,954",.
FINAL,2010,CARIBBEAN,ALL SPECIES,"392,624",10.6,"156,115",13.2
PRELIMINARY,2011,SOUTHERN CALIFORNIA,ALL SPECIES,"4,545,405",.,"2,809,734",.
PRELIMINARY,2011,NORTHERN CALIFORNIA,ALL SPECIES,"3,757,187",.,"966,732",.
PRELIMINARY,2011,PACIFIC NORTHWEST,ALL SPECIES,"757,028",.,"278,681",.
FINAL,2011,NORTH ATLANTIC,ALL SPECIES,"30,866,558",8.6,"33,871,874",6.7
FINAL,2011,MID-ATLANTIC,ALL SPECIES,"62,246,638",8,"157,788,473",3.5
FINAL,2011,SOUTH ATLANTIC,ALL SPECIES,"138,653,247",7.5,"215,928,192",3.7
FINAL,2011,GULF OF MEXICO,ALL SPECIES,"141,476,978",3.6,"220,477,837",2.5
FINAL,2011,HAWAIIAN ISLANDS,ALL SPECIES,"2,503,623",11.3,"164,089",14.2
FINAL,2011,TEXAS,ALL SPECIES,"2,483,184",.,.,.
FINAL,2011,ALASKA,ALL SPECIES,"1,336,410",.,"942,696",.
FINAL,2011,CARIBBEAN,ALL SPECIES,"387,316",8.9,"58,980",14.1
PRELIMINARY,2012,SOUTHERN CALIFORNIA,ALL SPECIES,"5,738,065",.,"3,820,995",.
PRELIMINARY,2012,NORTHERN CALIFORNIA,ALL SPECIES,"2,336,958",.,"788,731",.
PRELIMINARY,2012,PACIFIC NORTHWEST,ALL SPECIES,"886,137",.,"243,718",.
FINAL,2012,NORTH ATLANTIC,ALL SPECIES,"28,428,400",6.9,"41,408,562",5
FINAL,2012,MID-ATLANTIC,ALL SPECIES,"71,825,951",9.1,"222,232,289",4.4
FINAL,2012,SOUTH ATLANTIC,ALL SPECIES,"111,974,325",5.7,"204,810,246",3.5
FINAL,2012,GULF OF MEXICO,ALL SPECIES,"168,270,805",6,"254,091,259",3.5
FINAL,2012,HAWAIIAN ISLANDS,ALL SPECIES,"2,763,251",6.6,"293,508",12.9
FINAL,2012,TEXAS,ALL SPECIES,"2,257,311",.,.,.
FINAL,2012,ALASKA,ALL SPECIES,"1,213,422",.,"834,806",.
FINAL,2012,CARIBBEAN,ALL SPECIES,"477,730",8.9,"48,664",11.3
PRELIMINARY,2013,SOUTHERN CALIFORNIA,ALL SPECIES,"5,162,943",.,"4,513,050",.
PRELIMINARY,2013,NORTHERN CALIFORNIA,ALL SPECIES,"2,876,996",.,"1,665,825",.
PRELIMINARY,2013,PACIFIC NORTHWEST,ALL SPECIES,"992,545",.,"284,594",.
FINAL,2013,NORTH ATLANTIC,ALL SPECIES,"33,206,811",7.2,"47,073,370",4.5
